CT14nnlo	1.057 GeV
x	q(x)	delta_q	xq(x)	delta_xq(x)
6.546362E-03	6.738797E+00	1.780557E+00	4.411460E-02	1.165617E-02
6.606934E-03	6.715804E+00	1.762714E+00	4.437088E-02	1.164613E-02
6.668068E-03	6.692873E+00	1.744956E+00	4.462853E-02	1.163549E-02
6.729767E-03	6.670004E+00	1.727283E+00	4.488757E-02	1.162421E-02
6.792036E-03	6.647192E+00	1.709702E+00	4.514797E-02	1.161236E-02
6.854882E-03	6.624426E+00	1.692229E+00	4.540966E-02	1.160003E-02
6.918310E-03	6.601705E+00	1.674866E+00	4.567264E-02	1.158724E-02
6.982324E-03	6.579029E+00	1.657615E+00	4.593692E-02	1.157401E-02
7.046931E-03	6.556398E+00	1.640479E+00	4.620248E-02	1.156034E-02
7.112135E-03	6.533811E+00	1.623459E+00	4.646935E-02	1.154626E-02
7.177943E-03	6.511267E+00	1.606557E+00	4.673750E-02	1.153178E-02
7.244360E-03	6.488767E+00	1.589775E+00	4.700696E-02	1.151690E-02
7.311391E-03	6.466310E+00	1.573113E+00	4.727772E-02	1.150165E-02
7.379042E-03	6.443895E+00	1.556574E+00	4.754978E-02	1.148603E-02
7.447320E-03	6.421523E+00	1.540159E+00	4.782314E-02	1.147006E-02
7.516229E-03	6.399193E+00	1.523868E+00	4.809780E-02	1.145374E-02
7.585776E-03	6.376904E+00	1.507704E+00	4.837377E-02	1.143710E-02
7.655966E-03	6.354658E+00	1.491666E+00	4.865104E-02	1.142014E-02
7.726806E-03	6.332452E+00	1.475755E+00	4.892963E-02	1.140288E-02
7.798301E-03	6.310287E+00	1.459973E+00	4.920952E-02	1.138531E-02
7.870458E-03	6.288163E+00	1.444320E+00	4.949072E-02	1.136746E-02
7.943282E-03	6.266080E+00	1.428797E+00	4.977324E-02	1.134934E-02
8.016781E-03	6.244037E+00	1.413404E+00	5.005707E-02	1.133095E-02
8.090959E-03	6.222034E+00	1.398141E+00	5.034222E-02	1.131230E-02
8.165824E-03	6.200070E+00	1.383010E+00	5.062868E-02	1.129341E-02
8.241381E-03	6.178147E+00	1.368010E+00	5.091646E-02	1.127430E-02
8.317638E-03	6.156271E+00	1.353145E+00	5.120563E-02	1.125497E-02
8.394600E-03	6.134444E+00	1.338416E+00	5.149620E-02	1.123546E-02
8.472274E-03	6.112664E+00	1.323821E+00	5.178816E-02	1.121578E-02
8.550667E-03	6.090928E+00	1.309362E+00	5.208150E-02	1.119592E-02
8.629785E-03	6.069235E+00	1.295039E+00	5.237619E-02	1.117591E-02
8.709636E-03	6.047581E+00	1.280851E+00	5.267223E-02	1.115574E-02
8.790225E-03	6.025966E+00	1.266798E+00	5.296959E-02	1.113544E-02
8.871560E-03	6.004386E+00	1.252880E+00	5.326827E-02	1.111500E-02
8.953648E-03	5.982840E+00	1.239097E+00	5.356824E-02	1.109444E-02
9.036495E-03	5.961325E+00	1.225448E+00	5.386949E-02	1.107375E-02
9.120108E-03	5.939841E+00	1.211932E+00	5.417200E-02	1.105295E-02
9.204496E-03	5.918385E+00	1.198550E+00	5.447575E-02	1.103204E-02
9.289664E-03	5.896956E+00	1.185299E+00	5.478074E-02	1.101103E-02
9.375620E-03	5.875552E+00	1.172180E+00	5.508695E-02	1.098991E-02
9.462372E-03	5.854172E+00	1.159190E+00	5.539435E-02	1.096869E-02
9.549926E-03	5.832814E+00	1.146330E+00	5.570294E-02	1.094737E-02
9.638290E-03	5.811476E+00	1.133597E+00	5.601269E-02	1.092594E-02
9.727472E-03	5.790158E+00	1.120991E+00	5.632360E-02	1.090441E-02
9.817479E-03	5.768858E+00	1.108510E+00	5.663564E-02	1.088278E-02
9.908319E-03	5.747574E+00	1.096153E+00	5.694880E-02	1.086104E-02
1.000000E-02	5.726307E+00	1.083919E+00	5.726307E-02	1.083919E-02
1.198397E-02	5.326036E+00	8.636103E-01	6.382705E-02	1.034948E-02
1.396794E-02	5.001884E+00	7.113256E-01	6.986600E-02	9.935750E-03
1.595190E-02	4.732933E+00	6.084822E-01	7.549929E-02	9.706450E-03
1.793587E-02	4.505249E+00	5.408807E-01	8.080558E-02	9.701167E-03
1.991984E-02	4.309232E+00	4.931737E-01	8.583920E-02	9.823941E-03
2.190381E-02	4.138071E+00	4.605973E-01	9.063952E-02	1.008884E-02
2.388778E-02	3.987714E+00	4.404903E-01	9.525763E-02	1.052233E-02
2.587174E-02	3.853879E+00	4.282025E-01	9.970656E-02	1.107835E-02
2.785571E-02	3.734168E+00	4.200413E-01	1.040179E-01	1.170055E-02
2.983968E-02	3.625877E+00	4.141026E-01	1.081950E-01	1.235669E-02
3.182365E-02	3.527526E+00	4.097255E-01	1.122588E-01	1.303896E-02
3.380762E-02	3.438042E+00	4.062278E-01	1.162320E-01	1.373359E-02
3.579158E-02	3.355962E+00	4.032627E-01	1.201152E-01	1.443341E-02
3.777555E-02	3.280330E+00	4.004078E-01	1.239163E-01	1.512563E-02
3.975952E-02	3.210491E+00	3.975148E-01	1.276476E-01	1.580500E-02
4.174349E-02	3.145800E+00	3.945803E-01	1.313167E-01	1.647116E-02
4.372745E-02	3.085363E+00	3.917144E-01	1.349151E-01	1.712867E-02
4.571142E-02	3.028974E+00	3.885675E-01	1.384587E-01	1.776197E-02
4.769539E-02	2.976229E+00	3.852173E-01	1.419524E-01	1.837309E-02
4.967936E-02	2.927047E+00	3.814122E-01	1.454138E-01	1.894831E-02
5.166333E-02	2.881114E+00	3.770667E-01	1.488480E-01	1.948052E-02
5.364729E-02	2.837856E+00	3.724593E-01	1.522433E-01	1.998144E-02
5.563126E-02	2.797015E+00	3.676443E-01	1.556015E-01	2.045252E-02
5.761523E-02	2.758436E+00	3.626538E-01	1.589279E-01	2.089438E-02
5.959920E-02	2.721914E+00	3.575611E-01	1.622239E-01	2.131036E-02
6.158317E-02	2.687216E+00	3.524225E-01	1.654873E-01	2.170330E-02
6.356713E-02	2.654054E+00	3.473446E-01	1.687106E-01	2.207970E-02
6.555110E-02	2.622340E+00	3.422670E-01	1.718973E-01	2.243598E-02
6.753507E-02	2.592022E+00	3.371177E-01	1.750524E-01	2.276727E-02
6.951904E-02	2.563021E+00	3.319257E-01	1.781788E-01	2.307516E-02
7.150301E-02	2.535258E+00	3.267208E-01	1.812785E-01	2.336152E-02
7.348697E-02	2.508674E+00	3.214594E-01	1.843549E-01	2.362308E-02
7.547094E-02	2.483194E+00	3.161392E-01	1.874090E-01	2.385932E-02
7.745491E-02	2.458663E+00	3.108607E-01	1.904355E-01	2.407769E-02
7.943888E-02	2.434996E+00	3.056266E-01	1.934334E-01	2.427863E-02
8.142285E-02	2.412128E+00	3.004277E-01	1.964024E-01	2.446168E-02
8.340681E-02	2.390010E+00	2.952587E-01	1.993431E-01	2.462659E-02
8.539078E-02	2.368648E+00	2.901362E-01	2.022607E-01	2.477496E-02
8.737475E-02	2.347979E+00	2.850658E-01	2.051541E-01	2.490755E-02
8.935872E-02	2.327935E+00	2.800461E-01	2.080213E-01	2.502456E-02
9.134269E-02	2.308458E+00	2.750768E-01	2.108607E-01	2.512626E-02
9.332665E-02	2.289513E+00	2.701992E-01	2.136726E-01	2.521679E-02
9.531062E-02	2.271061E+00	2.654184E-01	2.164563E-01	2.529720E-02
9.729459E-02	2.253060E+00	2.607246E-01	2.192106E-01	2.536709E-02
9.927856E-02	2.235474E+00	2.561091E-01	2.219346E-01	2.542615E-02
1.012625E-01	2.218274E+00	2.515649E-01	2.246281E-01	2.547410E-02
1.032465E-01	2.201499E+00	2.470906E-01	2.272971E-01	2.551124E-02
1.052305E-01	2.185124E+00	2.426916E-01	2.299416E-01	2.553855E-02
1.072144E-01	2.169097E+00	2.383721E-01	2.325585E-01	2.555692E-02
1.091984E-01	2.153377E+00	2.341341E-01	2.351453E-01	2.556707E-02
1.111824E-01	2.137926E+00	2.299792E-01	2.376997E-01	2.556963E-02
1.131663E-01	2.122769E+00	2.259267E-01	2.402260E-01	2.556729E-02
1.151503E-01	2.107897E+00	2.219791E-01	2.427250E-01	2.556096E-02
1.171343E-01	2.093278E+00	2.181276E-01	2.451946E-01	2.555022E-02
1.191182E-01	2.078883E+00	2.143637E-01	2.476328E-01	2.553463E-02
1.211022E-01	2.064687E+00	2.106792E-01	2.500382E-01	2.551372E-02
1.230862E-01	2.050670E+00	2.070664E-01	2.524092E-01	2.548701E-02
1.250701E-01	2.036867E+00	2.035052E-01	2.547513E-01	2.545243E-02
1.270541E-01	2.023297E+00	1.999971E-01	2.570682E-01	2.541046E-02
1.290381E-01	2.009924E+00	1.965627E-01	2.593568E-01	2.536408E-02
1.310220E-01	1.996716E+00	1.932186E-01	2.616138E-01	2.531589E-02
1.330060E-01	1.983646E+00	1.899775E-01	2.638368E-01	2.526816E-02
1.349900E-01	1.970689E+00	1.868495E-01	2.660232E-01	2.522281E-02
1.369739E-01	1.957845E+00	1.837840E-01	2.681737E-01	2.517362E-02
1.389579E-01	1.945135E+00	1.807261E-01	2.702919E-01	2.511333E-02
1.409419E-01	1.932550E+00	1.777473E-01	2.723773E-01	2.505204E-02
1.429259E-01	1.920096E+00	1.748380E-01	2.744313E-01	2.498887E-02
1.449098E-01	1.907746E+00	1.719961E-01	2.764511E-01	2.492392E-02
1.468938E-01	1.895499E+00	1.692249E-01	2.784370E-01	2.485809E-02
1.488778E-01	1.883355E+00	1.665228E-01	2.803897E-01	2.479153E-02
1.508617E-01	1.871307E+00	1.638859E-01	2.823085E-01	2.472411E-02
1.528457E-01	1.859358E+00	1.613124E-01	2.841948E-01	2.465590E-02
1.548297E-01	1.847497E+00	1.587979E-01	2.860474E-01	2.458663E-02
1.568136E-01	1.835734E+00	1.563390E-01	2.878681E-01	2.451609E-02
1.587976E-01	1.824060E+00	1.539365E-01	2.896563E-01	2.444475E-02
1.607816E-01	1.812452E+00	1.515909E-01	2.914089E-01	2.437301E-02
1.627655E-01	1.800924E+00	1.492980E-01	2.931284E-01	2.430056E-02
1.647495E-01	1.789456E+00	1.470601E-01	2.948120E-01	2.422808E-02
1.667335E-01	1.778032E+00	1.448810E-01	2.964575E-01	2.415652E-02
1.687174E-01	1.766670E+00	1.427592E-01	2.980680E-01	2.408597E-02
1.707014E-01	1.755361E+00	1.406880E-01	2.996426E-01	2.401564E-02
1.726854E-01	1.744106E+00	1.386636E-01	3.011817E-01	2.394517E-02
1.746693E-01	1.732909E+00	1.366853E-01	3.026861E-01	2.387474E-02
1.766533E-01	1.721756E+00	1.347467E-01	3.041539E-01	2.380344E-02
1.786373E-01	1.710651E+00	1.328446E-01	3.055860E-01	2.373099E-02
1.806212E-01	1.699602E+00	1.309804E-01	3.069841E-01	2.365784E-02
1.826052E-01	1.688597E+00	1.291529E-01	3.083466E-01	2.358400E-02
1.845892E-01	1.677638E+00	1.273612E-01	3.096738E-01	2.350950E-02
1.865731E-01	1.666729E+00	1.256033E-01	3.109668E-01	2.343420E-02
1.885571E-01	1.655858E+00	1.238757E-01	3.122237E-01	2.335764E-02
1.905411E-01	1.645026E+00	1.221763E-01	3.134450E-01	2.327961E-02
1.925251E-01	1.634244E+00	1.205066E-01	3.146330E-01	2.320054E-02
1.945090E-01	1.623505E+00	1.188672E-01	3.157863E-01	2.312073E-02
1.964930E-01	1.612802E+00	1.172575E-01	3.169042E-01	2.304028E-02
1.984770E-01	1.602143E+00	1.156757E-01	3.179884E-01	2.295895E-02
2.004609E-01	1.591524E+00	1.141215E-01	3.190383E-01	2.287690E-02
2.024449E-01	1.580940E+00	1.125946E-01	3.200533E-01	2.279420E-02
2.044289E-01	1.570409E+00	1.110952E-01	3.210370E-01	2.271106E-02
2.064128E-01	1.559924E+00	1.096225E-01	3.219882E-01	2.262748E-02
2.083968E-01	1.549466E+00	1.081747E-01	3.229038E-01	2.254325E-02
2.103808E-01	1.539035E+00	1.067510E-01	3.237834E-01	2.245835E-02
2.123647E-01	1.528643E+00	1.053512E-01	3.246299E-01	2.237289E-02
2.143487E-01	1.518270E+00	1.039715E-01	3.254392E-01	2.228615E-02
2.163327E-01	1.507896E+00	1.026074E-01	3.262071E-01	2.219734E-02
2.183166E-01	1.497533E+00	1.012577E-01	3.269363E-01	2.210623E-02
2.203006E-01	1.487192E+00	9.992748E-02	3.276293E-01	2.201408E-02
2.222846E-01	1.476877E+00	9.862220E-02	3.282869E-01	2.192219E-02
2.242685E-01	1.466589E+00	9.734361E-02	3.289099E-01	2.183111E-02
2.262525E-01	1.456332E+00	9.608570E-02	3.294987E-01	2.173963E-02
2.282365E-01	1.446104E+00	9.485404E-02	3.300536E-01	2.164915E-02
2.302204E-01	1.435906E+00	9.365412E-02	3.305749E-01	2.156109E-02
2.322044E-01	1.425745E+00	9.248969E-02	3.310642E-01	2.147651E-02
2.341884E-01	1.415628E+00	9.135728E-02	3.315235E-01	2.139481E-02
2.361723E-01	1.405548E+00	9.024849E-02	3.319516E-01	2.131420E-02
2.381563E-01	1.395499E+00	8.915561E-02	3.323469E-01	2.123297E-02
2.401403E-01	1.385479E+00	8.807700E-02	3.327094E-01	2.115084E-02
2.421242E-01	1.375496E+00	8.701772E-02	3.330409E-01	2.106910E-02
2.441082E-01	1.365544E+00	8.596981E-02	3.333404E-01	2.098594E-02
2.460922E-01	1.355619E+00	8.492535E-02	3.336071E-01	2.089947E-02
2.480762E-01	1.345723E+00	8.387954E-02	3.338417E-01	2.080851E-02
2.500601E-01	1.335868E+00	8.283732E-02	3.340472E-01	2.071431E-02
2.520441E-01	1.326048E+00	8.180333E-02	3.342225E-01	2.061804E-02
2.540281E-01	1.316258E+00	8.078137E-02	3.343663E-01	2.052073E-02
2.560120E-01	1.306494E+00	7.977370E-02	3.344781E-01	2.042303E-02
