# MMHT2014 NNLO Q=1.057
# x  w(x)  delta_w(x)
1.000000E-04  1.646524E-05  1.412276E-05
1.009253E-04  1.660270E-05  1.414054E-05
1.018591E-04  1.674273E-05  1.457508E-05
1.028016E-04  1.688538E-05  1.473511E-05
1.037528E-04  1.703071E-05  1.488797E-05
1.047129E-04  1.717879E-05  1.487852E-05
1.056818E-04  1.732968E-05  1.493127E-05
1.066596E-04  1.748344E-05  1.490972E-05
1.076465E-04  1.764014E-05  1.524012E-05
1.086426E-04  1.779986E-05  1.559525E-05
1.096478E-04  1.796265E-05  1.591996E-05
1.106624E-04  1.812860E-05  1.595183E-05
1.116863E-04  1.897069E-05  1.638410E-05
1.127197E-04  1.915220E-05  1.622918E-05
1.137627E-04  1.933702E-05  1.623442E-05
1.148154E-04  1.952522E-05  1.613892E-05
1.158777E-04  1.971686E-05  1.711766E-05
1.169499E-04  1.994560E-05  1.699372E-05
1.180321E-04  2.014530E-05  1.732291E-05
1.191242E-04  2.034871E-05  1.767259E-05
1.202264E-04  2.055590E-05  1.780099E-05
1.213389E-04  2.076695E-05  1.784378E-05
1.224616E-04  2.098192E-05  1.796797E-05
1.235947E-04  2.116082E-05  1.824491E-05
1.247384E-04  2.138262E-05  1.856503E-05
1.258925E-04  2.160854E-05  1.870312E-05
1.270574E-04  2.183865E-05  1.879638E-05
1.282331E-04  2.207303E-05  1.942881E-05
1.294196E-04  2.231176E-05  1.949404E-05
1.306171E-04  2.356186E-05  2.013686E-05
1.318257E-04  2.381524E-05  2.040917E-05
1.330454E-04  2.407326E-05  2.076558E-05
1.342765E-04  2.433600E-05  2.084869E-05
1.355189E-04  2.386107E-05  2.070452E-05
1.367729E-04  2.413372E-05  2.061686E-05
1.380384E-04  2.439885E-05  2.100768E-05
1.393157E-04  2.572351E-05  2.149614E-05
1.406048E-04  2.600430E-05  2.166803E-05
1.419058E-04  2.629007E-05  2.195760E-05
1.432188E-04  2.658089E-05  2.217136E-05
1.445440E-04  2.687684E-05  2.243949E-05
1.458814E-04  2.717796E-05  2.292056E-05
1.472313E-04  2.748434E-05  2.292327E-05
1.485936E-04  2.779604E-05  2.324922E-05
1.499685E-04  2.811311E-05  2.303435E-05
1.513561E-04  2.843561E-05  2.340491E-05
1.527566E-04  2.876359E-05  2.361185E-05
1.541700E-04  2.909715E-05  2.394107E-05
1.555966E-04  2.943642E-05  2.428673E-05
1.570363E-04  2.978138E-05  2.401460E-05
1.584893E-04  3.013206E-05  2.420843E-05
1.599558E-04  3.048849E-05  2.494084E-05
1.614359E-04  3.085087E-05  2.520263E-05
