NNPDF30_nnlo_as_0118	1.00 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb  xdb-ub  Exuv  Exdv  Exu  Exd  Exs  Exc  Exb  Exg  Exub  Exdb  Exsb  Excb  Exbb  Exdb-ub
1.116863E-04  1.430478E-02  1.021312E-02  3.012737E-01  3.245654E-01  2.667953E-01  -5.553571E-11  -3.618881E-10  -1.637266E+00  2.869690E-01  3.143523E-01  2.676815E-01  -7.483015E-11  -3.871371E-10  2.738330E-02  4.985770E-03  6.242320E-03  6.574275E-02  1.073992E-01  1.650047E-01  6.034200E-09  7.152646E-09  1.842958E+00  6.716304E-02  1.079671E-01  1.643910E-01  6.046169E-09  7.121055E-09  1.318224E-01
1.127197E-04  1.436302E-02  1.025033E-02  3.012629E-01  3.241240E-01  2.662164E-01  -3.077281E-11  -3.651958E-10  -1.652408E+00  2.868999E-01  3.138737E-01  2.671055E-01  -4.965367E-11  -3.898466E-10  2.697378E-02  4.987143E-03  6.251263E-03  6.542822E-02  1.067318E-01  1.644870E-01  5.944754E-09  7.049031E-09  1.812996E+00  6.685169E-02  1.073057E-01  1.638763E-01  5.955764E-09  7.017019E-09  1.309194E-01
1.137627E-04  1.442151E-02  1.028766E-02  3.012533E-01  3.236840E-01  2.656372E-01  -5.009751E-12  -3.684055E-10  -1.666857E+00  2.868318E-01  3.133964E-01  2.665292E-01  -2.345019E-11  -3.923974E-10  2.656461E-02  4.988502E-03  6.260226E-03  6.511597E-02  1.060681E-01  1.639704E-01  5.855351E-09  6.945466E-09  1.783840E+00  6.654260E-02  1.066483E-01  1.633628E-01  5.865304E-09  6.913119E-09  1.300219E-01
1.148154E-04  1.448022E-02  1.032512E-02  3.012447E-01  3.232455E-01  2.650578E-01  2.163388E-11  -3.714726E-10  -1.680640E+00  2.867644E-01  3.129204E-01  2.659526E-01  3.657695E-12  -3.947488E-10  2.615598E-02  4.989847E-03  6.269209E-03  6.480607E-02  1.054084E-01  1.634551E-01  5.768408E-09  6.844548E-09  1.755472E+00  6.623585E-02  1.059948E-01  1.628505E-01  5.777211E-09  6.811972E-09  1.291303E-01
1.158777E-04  1.453918E-02  1.036270E-02  3.012369E-01  3.228085E-01  2.644781E-01  4.903852E-11  -3.743527E-10  -1.693783E+00  2.866977E-01  3.124458E-01  2.653758E-01  3.154737E-11  -3.968604E-10  2.574805E-02  4.991178E-03  6.278210E-03  6.449860E-02  1.047526E-01  1.629411E-01  5.686328E-09  6.748842E-09  1.727875E+00  6.593151E-02  1.053454E-01  1.623396E-01  5.693893E-09  6.716163E-09  1.282447E-01
1.169499E-04  1.459839E-02  1.040042E-02  3.012300E-01  3.223730E-01  2.638982E-01  7.708459E-11  -3.770014E-10  -1.706310E+00  2.866316E-01  3.119726E-01  2.647988E-01  6.009623E-11  -3.986917E-10  2.534099E-02  4.992496E-03  6.287229E-03  6.419362E-02  1.041009E-01  1.624284E-01  5.611442E-09  6.660834E-09  1.701034E+00  6.562965E-02  1.047001E-01  1.618300E-01  5.617689E-09  6.628198E-09  1.273653E-01
1.180321E-04  1.465784E-02  1.043827E-02  3.012237E-01  3.219392E-01  2.633181E-01  1.056525E-10  -3.793743E-10  -1.718249E+00  2.865659E-01  3.115009E-01  2.642216E-01  8.918166E-11  -4.002021E-10  2.493498E-02  4.993800E-03  6.296264E-03  6.389119E-02  1.034534E-01  1.619170E-01  5.545956E-09  6.582869E-09  1.674939E+00  6.533032E-02  1.040592E-01  1.613217E-01  5.550818E-09  6.550439E-09  1.264925E-01
1.191242E-04  1.471754E-02  1.047626E-02  3.012180E-01  3.215069E-01  2.627378E-01  1.346227E-10  -3.814270E-10  -1.729625E+00  2.865005E-01  3.110307E-01  2.636443E-01  1.186811E-10  -4.013512E-10  2.453017E-02  4.995090E-03  6.305316E-03  6.359138E-02  1.028101E-01  1.614070E-01  5.491882E-09  6.517085E-09  1.649580E+00  6.503358E-02  1.034226E-01  1.608150E-01  5.495306E-09  6.485039E-09  1.256264E-01
1.202264E-04  1.477749E-02  1.051437E-02  3.012128E-01  3.210764E-01  2.621574E-01  1.638757E-10  -3.831149E-10  -1.740463E+00  2.864353E-01  3.105620E-01  2.630669E-01  1.484718E-10  -4.020983E-10  2.412674E-02  4.996367E-03  6.314382E-03  6.329423E-02  1.021712E-01  1.608985E-01  5.450961E-09  6.465345E-09  1.624950E+00  6.473948E-02  1.027905E-01  1.603096E-01  5.452916E-09  6.433870E-09  1.247672E-01
1.213389E-04  1.483770E-02  1.055263E-02  3.012079E-01  3.206477E-01  2.615769E-01  1.932917E-10  -3.843938E-10  -1.750790E+00  2.863702E-01  3.100950E-01  2.624894E-01  1.784313E-10  -4.024031E-10  2.372486E-02  4.997631E-03  6.323462E-03  6.299979E-02  1.015367E-01  1.603913E-01  5.424602E-09  6.429163E-09  1.601046E+00  6.444806E-02  1.021630E-01  1.598057E-01  5.425077E-09  6.398452E-09  1.239151E-01
