# CT14 NNLO Q=1.100
# x  w(x)  delta_w(x)
1.000000E-04  3.536898E-03  2.900196E-04
1.009253E-04  3.538540E-03  2.880993E-04
1.018591E-04  3.540199E-03  2.878261E-04
1.028016E-04  3.541880E-03  2.893885E-04
1.037528E-04  3.543668E-03  2.898015E-04
1.047129E-04  3.545381E-03  2.965005E-04
1.056818E-04  3.547109E-03  2.935296E-04
1.066596E-04  3.554285E-03  2.907827E-04
1.076465E-04  3.556085E-03  2.926424E-04
1.086426E-04  3.557768E-03  2.937614E-04
1.096478E-04  3.559599E-03  2.973937E-04
1.106624E-04  3.561448E-03  2.983620E-04
1.116863E-04  3.563316E-03  3.038752E-04
1.127197E-04  3.565203E-03  3.054993E-04
1.137627E-04  3.567111E-03  3.054545E-04
1.148154E-04  3.569038E-03  3.085925E-04
1.158777E-04  3.571353E-03  3.046188E-04
1.169499E-04  3.573714E-03  3.082518E-04
1.180321E-04  3.576106E-03  3.154849E-04
1.191242E-04  3.578530E-03  3.167091E-04
1.202264E-04  3.580986E-03  3.175849E-04
1.213389E-04  3.583474E-03  3.152616E-04
1.224616E-04  3.585996E-03  3.196232E-04
1.235947E-04  3.588550E-03  3.221163E-04
1.247384E-04  3.591051E-03  3.232520E-04
1.258925E-04  3.593584E-03  3.267014E-04
1.270574E-04  3.596152E-03  3.266018E-04
1.282331E-04  3.598754E-03  3.275394E-04
1.294196E-04  3.601392E-03  3.393948E-04
1.306171E-04  3.604065E-03  3.361581E-04
1.318257E-04  3.606774E-03  3.382540E-04
1.330454E-04  3.609520E-03  3.432663E-04
1.342765E-04  3.612303E-03  3.487719E-04
1.355189E-04  3.615124E-03  3.517828E-04
1.367729E-04  3.617925E-03  3.541832E-04
1.380384E-04  3.619347E-03  3.600088E-04
1.393157E-04  3.620781E-03  3.620166E-04
1.406048E-04  3.622226E-03  3.559180E-04
1.419058E-04  3.623680E-03  3.603146E-04
1.432188E-04  3.625145E-03  3.608666E-04
1.445440E-04  3.626618E-03  3.607967E-04
1.458814E-04  3.628100E-03  3.654358E-04
1.472313E-04  3.629589E-03  3.672988E-04
1.485936E-04  3.631085E-03  3.677696E-04
1.499685E-04  3.632586E-03  3.617478E-04
1.513561E-04  3.634092E-03  3.698987E-04
1.527566E-04  3.635601E-03  3.697940E-04
1.541700E-04  3.637111E-03  3.687613E-04
1.555966E-04  3.638621E-03  3.736337E-04
1.570363E-04  3.640128E-03  3.807240E-04
1.584893E-04  3.641631E-03  3.887883E-04
1.599558E-04  3.662531E-03  3.912128E-04
1.614359E-04  3.664025E-03  3.878246E-04
1.629296E-04  3.665508E-03  3.879642E-04
1.644372E-04  3.666976E-03  3.840398E-04
1.659587E-04  3.669886E-03  3.857337E-04
1.674943E-04  3.676505E-03  3.902131E-04
1.690441E-04  3.664989E-03  3.914785E-04
1.706082E-04  3.671807E-03  3.958026E-04
1.721869E-04  3.678743E-03  3.871458E-04
1.737801E-04  3.685607E-03  3.904117E-04
1.753881E-04  3.674560E-03  3.924065E-04
1.770109E-04  3.678845E-03  4.021864E-04
1.786488E-04  3.680342E-03  4.040296E-04
1.803018E-04  3.681877E-03  4.053109E-04
1.819701E-04  3.683446E-03  4.082253E-04
1.836538E-04  3.684006E-03  4.142490E-04
1.853532E-04  3.705246E-03  4.093974E-04
1.870682E-04  3.706993E-03  4.161224E-04
1.887991E-04  3.708779E-03  4.150965E-04
1.905461E-04  3.710603E-03  4.179874E-04
1.923092E-04  3.712461E-03  4.175638E-04
1.940886E-04  3.714351E-03  4.177090E-04
1.958845E-04  3.716273E-03  4.216000E-04
1.976970E-04  3.718224E-03  4.282088E-04
1.995262E-04  3.720201E-03  4.293575E-04
2.013724E-04  3.722204E-03  4.398324E-04
2.032357E-04  3.724230E-03  4.394797E-04
2.051162E-04  3.726277E-03  4.363835E-04
2.070141E-04  3.728343E-03  4.379794E-04
2.089296E-04  3.731684E-03  4.365549E-04
2.108628E-04  3.735906E-03  4.448046E-04
2.128139E-04  3.740119E-03  4.432098E-04
2.147830E-04  3.744321E-03  4.464125E-04
2.167704E-04  3.748512E-03  4.434677E-04
2.187762E-04  3.752175E-03  4.532556E-04
2.208005E-04  3.756261E-03  4.529596E-04
2.228435E-04  3.760342E-03  4.521764E-04
2.249055E-04  3.764416E-03  4.595940E-04
2.269865E-04  3.768483E-03  4.668045E-04
2.290868E-04  3.772542E-03  4.727928E-04
2.312065E-04  3.776592E-03  4.700722E-04
2.333458E-04  3.780385E-03  4.667137E-04
2.355049E-04  3.783770E-03  4.616969E-04
2.376840E-04  3.787166E-03  4.698324E-04
2.398833E-04  3.790572E-03  4.674121E-04
2.421029E-04  3.793977E-03  4.731101E-04
2.443431E-04  3.803021E-03  4.730166E-04
2.466039E-04  3.806493E-03  4.713422E-04
