# NNPDF30 NNLO Q=1.000
# x  w(x)  delta_w(x)
3.341950E-04  2.263244E-04  2.248931E-04
3.372873E-04  2.257018E-04  2.263685E-04
3.404082E-04  2.286740E-04  2.272583E-04
3.435579E-04  2.318097E-04  2.282533E-04
3.467369E-04  2.307509E-04  2.303711E-04
3.499452E-04  2.330370E-04  2.316533E-04
3.531832E-04  2.380329E-04  2.327949E-04
3.564511E-04  2.395211E-04  2.336873E-04
3.597493E-04  2.410366E-04  2.350659E-04
3.630781E-04  2.425783E-04  2.362573E-04
3.664376E-04  2.441446E-04  2.383489E-04
3.698282E-04  2.457337E-04  2.395440E-04
3.732502E-04  2.490736E-04  2.402365E-04
3.767038E-04  2.493070E-04  2.423143E-04
3.801894E-04  2.535015E-04  2.433719E-04
3.837072E-04  2.543457E-04  2.445045E-04
3.872576E-04  2.555536E-04  2.462330E-04
3.908409E-04  2.597601E-04  2.473107E-04
3.944573E-04  2.609761E-04  2.490041E-04
3.981072E-04  2.660753E-04  2.493935E-04
4.017908E-04  2.665529E-04  2.511750E-04
4.055085E-04  2.668995E-04  2.530844E-04
4.092607E-04  2.693192E-04  2.544149E-04
4.130475E-04  2.745214E-04  2.550915E-04
4.168694E-04  2.758688E-04  2.564897E-04
4.207266E-04  2.773445E-04  2.581017E-04
4.246196E-04  2.815073E-04  2.595940E-04
4.285485E-04  2.830951E-04  2.607100E-04
4.325138E-04  2.846993E-04  2.623754E-04
4.365158E-04  2.861978E-04  2.641799E-04
4.405549E-04  2.890074E-04  2.656372E-04
4.446313E-04  2.950637E-04  2.659255E-04
4.487454E-04  2.936612E-04  2.685054E-04
4.528976E-04  2.973410E-04  2.695462E-04
4.570882E-04  3.000861E-04  2.708319E-04
4.613176E-04  3.019426E-04  2.728489E-04
4.655861E-04  3.047262E-04  2.738894E-04
4.698941E-04  3.074712E-04  2.756591E-04
4.742420E-04  3.107429E-04  2.767417E-04
4.786301E-04  3.132786E-04  2.777365E-04
4.830588E-04  3.174631E-04  2.793082E-04
4.875285E-04  3.174631E-04  2.811951E-04
4.920395E-04  3.223672E-04  2.824685E-04
4.965923E-04  3.244943E-04  2.843321E-04
5.011872E-04  3.267516E-04  2.862605E-04
5.058247E-04  3.290262E-04  2.871413E-04
5.105050E-04  3.340062E-04  2.883930E-04
5.152286E-04  3.345575E-04  2.907181E-04
5.199960E-04  3.394685E-04  2.917364E-04
5.248075E-04  3.408884E-04  2.936793E-04
5.296634E-04  3.436496E-04  2.948400E-04
5.345644E-04  3.471605E-04  2.964166E-04
5.395106E-04  3.514858E-04  2.973613E-04
5.445027E-04  3.540928E-04  2.994535E-04
5.495409E-04  3.519985E-04  3.020397E-04
5.546257E-04  3.549236E-04  3.043523E-04
5.597576E-04  3.625335E-04  3.044112E-04
5.649370E-04  3.657790E-04  3.060866E-04
5.701643E-04  3.690322E-04  3.079774E-04
5.754399E-04  3.720269E-04  3.096795E-04
5.807644E-04  3.718456E-04  3.115143E-04
5.861382E-04  3.755214E-04  3.130721E-04
5.915616E-04  3.794610E-04  3.147918E-04
5.970353E-04  3.835511E-04  3.163250E-04
6.025596E-04  3.877893E-04  3.173991E-04
6.081350E-04  3.921707E-04  3.186933E-04
6.137620E-04  3.947119E-04  3.210201E-04
6.194411E-04  3.958476E-04  3.232872E-04
6.251727E-04  3.989082E-04  3.245635E-04
6.309573E-04  4.057124E-04  3.258368E-04
6.367955E-04  4.053745E-04  3.278739E-04
6.426877E-04  4.093738E-04  3.292062E-04
6.486344E-04  4.162210E-04  3.304083E-04
6.546362E-04  4.183281E-04  3.337097E-04
6.606934E-04  4.205411E-04  3.348508E-04
6.668068E-04  4.228240E-04  3.364473E-04
6.729767E-04  4.267470E-04  3.387504E-04
6.792036E-04  4.315336E-04  3.399015E-04
6.854882E-04  4.362410E-04  3.414167E-04
6.918310E-04  4.408574E-04  3.431222E-04
6.982324E-04  4.453734E-04  3.442574E-04
7.046931E-04  4.491203E-04  3.465127E-04
7.112135E-04  4.490845E-04  3.489950E-04
7.177943E-04  4.530858E-04  3.510193E-04
7.244360E-04  4.571365E-04  3.527093E-04
7.311391E-04  4.663183E-04  3.534878E-04
7.379042E-04  4.634723E-04  3.566880E-04
7.447320E-04  4.671937E-04  3.581970E-04
7.516229E-04  4.733259E-04  3.603865E-04
7.585776E-04  4.782851E-04  3.619629E-04
7.655966E-04  4.819412E-04  3.634209E-04
7.726806E-04  4.886096E-04  3.645958E-04
7.798301E-04  4.894280E-04  3.678110E-04
7.870458E-04  4.956540E-04  3.687623E-04
7.943282E-04  4.988446E-04  3.710007E-04
8.016781E-04  5.022972E-04  3.740936E-04
8.090959E-04  5.101520E-04  3.740132E-04
8.165824E-04  5.101520E-04  3.768632E-04
8.241381E-04  5.157047E-04  3.791602E-04
8.317638E-04  5.208028E-04  3.807320E-04
8.394600E-04  5.259939E-04  3.823253E-04
8.472274E-04  5.305967E-04  3.847223E-04
8.550667E-04  5.341828E-04  3.862316E-04
8.629785E-04  5.402765E-04  3.879431E-04
8.709636E-04  5.399851E-04  3.915138E-04
8.790225E-04  5.510474E-04  3.918800E-04
8.871560E-04  5.540089E-04  3.936852E-04
8.953648E-04  5.571091E-04  3.964747E-04
9.036495E-04  5.636155E-04  3.980935E-04
9.120108E-04  5.663503E-04  4.002530E-04
9.204496E-04  5.751234E-04  4.013076E-04
9.289664E-04  5.780965E-04  4.047662E-04
9.375620E-04  5.811910E-04  4.077076E-04
9.462372E-04  5.904338E-04  4.080179E-04
9.549926E-04  5.938152E-04  4.101524E-04
9.638290E-04  5.973436E-04  4.126596E-04
9.727472E-04  6.031395E-04  4.153165E-04
9.817479E-04  6.071940E-04  4.165731E-04
9.908319E-04  6.113936E-04  4.199929E-04
1.000000E-03  6.157416E-04  4.219014E-04
1.009253E-03  6.265089E-04  4.227011E-04
1.018591E-03  6.311929E-04  4.255174E-04
1.028016E-03  6.376854E-04  4.271427E-04
