CT14nnlo	1.000 GeV
x	q(x)	delta_q	xq(x)	delta_xq(x)
1.000000E-04	2.033677E+01	2.473133E+01	2.033677E-03	2.473133E-03
1.009253E-04	2.029112E+01	2.463638E+01	2.047887E-03	2.486434E-03
1.018591E-04	2.024631E+01	2.454098E+01	2.062271E-03	2.499723E-03
1.028016E-04	2.020178E+01	2.444560E+01	2.076776E-03	2.513048E-03
1.037528E-04	2.015753E+01	2.435032E+01	2.091401E-03	2.526415E-03
1.047129E-04	2.011354E+01	2.425521E+01	2.106146E-03	2.539833E-03
1.056818E-04	2.006980E+01	2.416035E+01	2.121012E-03	2.553308E-03
1.066596E-04	2.002629E+01	2.406580E+01	2.135997E-03	2.566849E-03
1.076465E-04	1.998301E+01	2.397163E+01	2.151102E-03	2.580462E-03
1.086426E-04	1.993994E+01	2.387787E+01	2.166327E-03	2.594152E-03
1.096478E-04	1.989708E+01	2.378454E+01	2.181672E-03	2.607923E-03
1.106624E-04	1.985441E+01	2.369167E+01	2.197136E-03	2.621776E-03
1.116863E-04	1.981192E+01	2.359923E+01	2.212721E-03	2.635711E-03
1.127197E-04	1.976961E+01	2.350720E+01	2.228426E-03	2.649725E-03
1.137627E-04	1.972746E+01	2.341553E+01	2.244250E-03	2.663815E-03
1.148154E-04	1.968547E+01	2.332417E+01	2.260194E-03	2.677973E-03
1.158777E-04	1.964362E+01	2.323304E+01	2.276258E-03	2.692192E-03
1.169499E-04	1.960190E+01	2.314206E+01	2.292441E-03	2.706463E-03
1.180321E-04	1.956031E+01	2.305115E+01	2.308744E-03	2.720775E-03
1.191242E-04	1.951884E+01	2.296022E+01	2.325167E-03	2.735117E-03
1.202264E-04	1.947749E+01	2.286916E+01	2.341709E-03	2.749478E-03
1.213389E-04	1.943623E+01	2.277792E+01	2.358370E-03	2.763847E-03
1.224616E-04	1.939506E+01	2.268641E+01	2.375151E-03	2.778215E-03
1.235947E-04	1.935399E+01	2.259458E+01	2.392051E-03	2.792572E-03
1.247384E-04	1.931309E+01	2.250256E+01	2.409083E-03	2.806933E-03
1.258925E-04	1.927238E+01	2.241050E+01	2.426249E-03	2.821314E-03
1.270574E-04	1.923185E+01	2.231848E+01	2.443549E-03	2.835728E-03
1.282331E-04	1.919145E+01	2.222660E+01	2.460979E-03	2.850185E-03
1.294196E-04	1.915117E+01	2.213496E+01	2.478536E-03	2.864697E-03
1.306171E-04	1.911096E+01	2.204363E+01	2.496218E-03	2.879274E-03
1.318257E-04	1.907081E+01	2.195267E+01	2.514022E-03	2.893926E-03
1.330454E-04	1.903069E+01	2.186213E+01	2.531947E-03	2.908657E-03
1.342765E-04	1.899058E+01	2.177204E+01	2.549988E-03	2.923473E-03
1.355189E-04	1.895044E+01	2.168238E+01	2.568144E-03	2.938373E-03
1.367729E-04	1.891026E+01	2.159314E+01	2.586411E-03	2.953356E-03
1.380384E-04	1.887002E+01	2.150428E+01	2.604788E-03	2.968417E-03
1.393157E-04	1.882970E+01	2.141574E+01	2.623272E-03	2.983548E-03
1.406048E-04	1.878926E+01	2.132743E+01	2.641859E-03	2.998738E-03
1.419058E-04	1.874870E+01	2.123928E+01	2.660548E-03	3.013976E-03
1.432188E-04	1.870799E+01	2.115118E+01	2.679336E-03	3.029247E-03
1.445440E-04	1.866713E+01	2.106304E+01	2.698221E-03	3.044535E-03
1.458814E-04	1.862607E+01	2.097474E+01	2.717198E-03	3.059824E-03
1.472313E-04	1.858483E+01	2.088619E+01	2.736267E-03	3.075100E-03
1.485936E-04	1.854336E+01	2.079730E+01	2.755424E-03	3.090346E-03
1.499685E-04	1.850167E+01	2.070802E+01	2.774667E-03	3.105550E-03
1.513561E-04	1.845971E+01	2.061818E+01	2.793991E-03	3.120688E-03
1.527566E-04	1.841736E+01	2.052713E+01	2.813374E-03	3.135655E-03
1.541700E-04	1.837463E+01	2.043503E+01	2.832818E-03	3.150470E-03
1.555966E-04	1.833158E+01	2.034220E+01	2.852331E-03	3.165177E-03
1.570363E-04	1.828825E+01	2.024896E+01	2.871918E-03	3.179821E-03
1.584893E-04	1.824468E+01	2.015560E+01	2.891587E-03	3.194448E-03
1.599558E-04	1.820093E+01	2.006242E+01	2.911345E-03	3.209100E-03
1.614359E-04	1.815704E+01	1.996965E+01	2.931198E-03	3.223818E-03
1.629296E-04	1.811305E+01	1.987752E+01	2.951152E-03	3.238637E-03
1.644372E-04	1.806900E+01	1.978622E+01	2.971216E-03	3.253590E-03
1.659587E-04	1.802494E+01	1.969588E+01	2.991395E-03	3.268703E-03
1.674943E-04	1.798089E+01	1.960664E+01	3.011697E-03	3.284000E-03
1.690441E-04	1.793690E+01	1.951856E+01	3.032128E-03	3.299497E-03
1.706082E-04	1.789301E+01	1.943169E+01	3.052694E-03	3.315207E-03
1.721869E-04	1.784923E+01	1.934607E+01	3.073403E-03	3.331139E-03
1.737801E-04	1.780562E+01	1.926169E+01	3.094262E-03	3.347299E-03
1.753881E-04	1.776220E+01	1.917854E+01	3.115277E-03	3.363687E-03
1.770109E-04	1.771899E+01	1.909660E+01	3.136455E-03	3.380305E-03
1.786488E-04	1.767604E+01	1.901582E+01	3.157803E-03	3.397153E-03
1.803018E-04	1.763337E+01	1.893619E+01	3.179327E-03	3.414229E-03
1.819701E-04	1.759099E+01	1.885769E+01	3.201035E-03	3.431536E-03
1.836538E-04	1.754895E+01	1.878033E+01	3.222933E-03	3.449079E-03
1.853532E-04	1.750692E+01	1.870451E+01	3.244963E-03	3.466939E-03
1.870682E-04	1.746410E+01	1.863112E+01	3.266978E-03	3.485291E-03
1.887991E-04	1.742061E+01	1.856003E+01	3.288995E-03	3.504118E-03
1.905461E-04	1.737659E+01	1.849105E+01	3.311041E-03	3.523397E-03
1.923092E-04	1.733221E+01	1.842399E+01	3.333143E-03	3.543103E-03
1.940886E-04	1.728761E+01	1.835868E+01	3.355327E-03	3.563209E-03
1.958845E-04	1.724292E+01	1.829489E+01	3.377620E-03	3.583684E-03
1.976970E-04	1.719829E+01	1.823239E+01	3.400050E-03	3.604489E-03
1.995262E-04	1.715384E+01	1.817093E+01	3.422642E-03	3.625577E-03
2.013724E-04	1.710971E+01	1.811020E+01	3.445424E-03	3.646896E-03
2.032357E-04	1.706601E+01	1.804989E+01	3.468422E-03	3.668381E-03
2.051162E-04	1.702286E+01	1.798962E+01	3.491664E-03	3.689963E-03
2.070141E-04	1.698036E+01	1.792903E+01	3.515175E-03	3.711563E-03
2.089296E-04	1.693864E+01	1.786771E+01	3.538984E-03	3.733094E-03
2.108628E-04	1.689779E+01	1.780524E+01	3.563116E-03	3.754464E-03
2.128139E-04	1.685792E+01	1.774120E+01	3.587599E-03	3.775575E-03
2.147830E-04	1.681911E+01	1.767517E+01	3.612460E-03	3.796326E-03
2.167704E-04	1.678146E+01	1.760672E+01	3.637725E-03	3.816617E-03
2.187762E-04	1.674506E+01	1.753548E+01	3.663421E-03	3.836344E-03
2.208005E-04	1.671000E+01	1.746106E+01	3.689575E-03	3.855410E-03
2.228435E-04	1.667634E+01	1.738315E+01	3.716214E-03	3.873722E-03
2.249055E-04	1.664417E+01	1.730147E+01	3.743365E-03	3.891195E-03
2.269865E-04	1.661388E+01	1.721537E+01	3.771125E-03	3.907656E-03
2.290868E-04	1.658557E+01	1.712495E+01	3.799534E-03	3.923100E-03
2.312065E-04	1.655898E+01	1.703108E+01	3.828543E-03	3.937696E-03
2.333458E-04	1.653385E+01	1.693460E+01	3.858104E-03	3.951617E-03
