NNPDF30_nnlo_as_0118	1.000 GeV
x	q(x)	delta_q	xq(x)	delta_xq(x)
1.393157E-04	4.881955E+01	1.835856E+02	6.801329E-03	2.557636E-02
1.406048E-04	4.858272E+01	1.819676E+02	6.830961E-03	2.558551E-02
1.419058E-04	4.834722E+01	1.803606E+02	6.860748E-03	2.559421E-02
1.432188E-04	4.811304E+01	1.787645E+02	6.890691E-03	2.560244E-02
1.445440E-04	4.788018E+01	1.771792E+02	6.920792E-03	2.561019E-02
1.458814E-04	4.764865E+01	1.756046E+02	6.951053E-03	2.561745E-02
1.472313E-04	4.741844E+01	1.740405E+02	6.981476E-03	2.562421E-02
1.485936E-04	4.718954E+01	1.724869E+02	7.012061E-03	2.563045E-02
1.499685E-04	4.696171E+01	1.709468E+02	7.042776E-03	2.563663E-02
1.513561E-04	4.673479E+01	1.694222E+02	7.073597E-03	2.564309E-02
1.527566E-04	4.650879E+01	1.679129E+02	7.104526E-03	2.564980E-02
1.541700E-04	4.628374E+01	1.664185E+02	7.135566E-03	2.565675E-02
1.555966E-04	4.605963E+01	1.649387E+02	7.166720E-03	2.566389E-02
1.570363E-04	4.583648E+01	1.634732E+02	7.197991E-03	2.567123E-02
1.584893E-04	4.561432E+01	1.620218E+02	7.229382E-03	2.567872E-02
1.599558E-04	4.539314E+01	1.605840E+02	7.260896E-03	2.568635E-02
1.614359E-04	4.517296E+01	1.591597E+02	7.292536E-03	2.569409E-02
1.629296E-04	4.495380E+01	1.577486E+02	7.324305E-03	2.570191E-02
1.644372E-04	4.473566E+01	1.563503E+02	7.356206E-03	2.570980E-02
1.659587E-04	4.451856E+01	1.549646E+02	7.388242E-03	2.571772E-02
1.674943E-04	4.430250E+01	1.535911E+02	7.420415E-03	2.572564E-02
1.690441E-04	4.408749E+01	1.522297E+02	7.452729E-03	2.573354E-02
1.706082E-04	4.387354E+01	1.508801E+02	7.485187E-03	2.574138E-02
1.721869E-04	4.366066E+01	1.495419E+02	7.517791E-03	2.574915E-02
1.737801E-04	4.344885E+01	1.482149E+02	7.550545E-03	2.575680E-02
1.753881E-04	4.323813E+01	1.468988E+02	7.583451E-03	2.576430E-02
1.770109E-04	4.302850E+01	1.455935E+02	7.616513E-03	2.577163E-02
1.786488E-04	4.281996E+01	1.442985E+02	7.649733E-03	2.577875E-02
1.803018E-04	4.261253E+01	1.430137E+02	7.683115E-03	2.578563E-02
1.819701E-04	4.240620E+01	1.417388E+02	7.716660E-03	2.579223E-02
1.836538E-04	4.220099E+01	1.404736E+02	7.750373E-03	2.579852E-02
1.853532E-04	4.199689E+01	1.392178E+02	7.784256E-03	2.580447E-02
1.870682E-04	4.179391E+01	1.379713E+02	7.818312E-03	2.581004E-02
1.887991E-04	4.159206E+01	1.367336E+02	7.852545E-03	2.581519E-02
1.905461E-04	4.139133E+01	1.355048E+02	7.886956E-03	2.581990E-02
1.923092E-04	4.119174E+01	1.342844E+02	7.921549E-03	2.582413E-02
1.940886E-04	4.099328E+01	1.330724E+02	7.956328E-03	2.582784E-02
1.958845E-04	4.079595E+01	1.318685E+02	7.991294E-03	2.583100E-02
1.976970E-04	4.059977E+01	1.306726E+02	8.026451E-03	2.583358E-02
1.995262E-04	4.040472E+01	1.294844E+02	8.061801E-03	2.583554E-02
2.013724E-04	4.021081E+01	1.283039E+02	8.097349E-03	2.583686E-02
2.032357E-04	4.001805E+01	1.271308E+02	8.133096E-03	2.583751E-02
2.051162E-04	3.982642E+01	1.259650E+02	8.169045E-03	2.583745E-02
2.070141E-04	3.963594E+01	1.248063E+02	8.205200E-03	2.583667E-02
2.089296E-04	3.944661E+01	1.236547E+02	8.241564E-03	2.583513E-02
2.108628E-04	3.925841E+01	1.225101E+02	8.278139E-03	2.583282E-02
2.128139E-04	3.907136E+01	1.213723E+02	8.314929E-03	2.582972E-02
