model:0	Q0^2=1.12	Q^2=1.12 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb
1.270574E-04  1.396543E-02  8.214517E-03  1.396543E-02  8.214517E-03  -3.803321E-10  0.000000E+00  0.000000E+00  -2.038110E-08  -3.521283E-10  -3.534138E-10  -3.557198E-10  0.000000E+00  0.000000E+00
1.282331E-04  1.403009E-02  8.252543E-03  1.403009E-02  8.252543E-03  -3.790292E-10  0.000000E+00  0.000000E+00  -2.033324E-08  -3.507062E-10  -3.520022E-10  -3.543245E-10  0.000000E+00  0.000000E+00
1.294196E-04  1.409504E-02  8.290746E-03  1.409504E-02  8.290745E-03  -3.777278E-10  0.000000E+00  0.000000E+00  -2.028495E-08  -3.492855E-10  -3.505920E-10  -3.529307E-10  0.000000E+00  0.000000E+00
1.306171E-04  1.416030E-02  8.329126E-03  1.416030E-02  8.329125E-03  -3.764280E-10  0.000000E+00  0.000000E+00  -2.023625E-08  -3.478660E-10  -3.491832E-10  -3.515383E-10  0.000000E+00  0.000000E+00
1.318257E-04  1.422586E-02  8.367685E-03  1.422586E-02  8.367684E-03  -3.751298E-10  0.000000E+00  0.000000E+00  -2.018713E-08  -3.464478E-10  -3.477757E-10  -3.501474E-10  0.000000E+00  0.000000E+00
1.330454E-04  1.429173E-02  8.406423E-03  1.429173E-02  8.406423E-03  -3.738332E-10  0.000000E+00  0.000000E+00  -2.013759E-08  -3.450309E-10  -3.463696E-10  -3.487580E-10  0.000000E+00  0.000000E+00
1.342765E-04  1.435790E-02  8.445342E-03  1.435790E-02  8.445341E-03  -3.725382E-10  0.000000E+00  0.000000E+00  -2.008764E-08  -3.436153E-10  -3.449649E-10  -3.473700E-10  0.000000E+00  0.000000E+00
1.355189E-04  1.442438E-02  8.484441E-03  1.442438E-02  8.484441E-03  -3.712448E-10  0.000000E+00  0.000000E+00  -2.003728E-08  -3.422010E-10  -3.435615E-10  -3.459835E-10  0.000000E+00  0.000000E+00
1.367729E-04  1.449117E-02  8.523723E-03  1.449117E-02  8.523723E-03  -3.699530E-10  0.000000E+00  0.000000E+00  -1.998652E-08  -3.407879E-10  -3.421594E-10  -3.445984E-10  0.000000E+00  0.000000E+00
1.380384E-04  1.455827E-02  8.563187E-03  1.455827E-02  8.563187E-03  -3.686627E-10  0.000000E+00  0.000000E+00  -1.993534E-08  -3.393761E-10  -3.407587E-10  -3.432148E-10  0.000000E+00  0.000000E+00
1.393157E-04  1.462569E-02  8.602835E-03  1.462569E-02  8.602835E-03  -3.673741E-10  0.000000E+00  0.000000E+00  -1.988376E-08  -3.379656E-10  -3.393594E-10  -3.418327E-10  0.000000E+00  0.000000E+00
1.406048E-04  1.469342E-02  8.642668E-03  1.469342E-02  8.642668E-03  -3.660870E-10  0.000000E+00  0.000000E+00  -1.983178E-08  -3.365563E-10  -3.379614E-10  -3.404520E-10  0.000000E+00  0.000000E+00
1.419058E-04  1.476146E-02  8.682686E-03  1.476146E-02  8.682686E-03  -3.648015E-10  0.000000E+00  0.000000E+00  -1.977939E-08  -3.351484E-10  -3.365648E-10  -3.390728E-10  0.000000E+00  0.000000E+00
1.432188E-04  1.482982E-02  8.722891E-03  1.482982E-02  8.722890E-03  -3.635176E-10  0.000000E+00  0.000000E+00  -1.972661E-08  -3.337417E-10  -3.351695E-10  -3.376951E-10  0.000000E+00  0.000000E+00
1.445440E-04  1.489850E-02  8.763282E-03  1.489850E-02  8.763282E-03  -3.622353E-10  0.000000E+00  0.000000E+00  -1.967343E-08  -3.323362E-10  -3.337756E-10  -3.363188E-10  0.000000E+00  0.000000E+00
1.458814E-04  1.496750E-02  8.803862E-03  1.496749E-02  8.803862E-03  -3.609545E-10  0.000000E+00  0.000000E+00  -1.961985E-08  -3.309321E-10  -3.323830E-10  -3.349439E-10  0.000000E+00  0.000000E+00
1.472313E-04  1.503681E-02  8.844631E-03  1.503681E-02  8.844630E-03  -3.596753E-10  0.000000E+00  0.000000E+00  -1.956588E-08  -3.295292E-10  -3.309918E-10  -3.335705E-10  0.000000E+00  0.000000E+00
1.485936E-04  1.510646E-02  8.885589E-03  1.510646E-02  8.885589E-03  -3.583977E-10  0.000000E+00  0.000000E+00  -1.951153E-08  -3.281276E-10  -3.296019E-10  -3.321986E-10  0.000000E+00  0.000000E+00
1.499685E-04  1.517642E-02  8.926738E-03  1.517642E-02  8.926738E-03  -3.571217E-10  0.000000E+00  0.000000E+00  -1.945678E-08  -3.267272E-10  -3.282134E-10  -3.308282E-10  0.000000E+00  0.000000E+00
1.513561E-04  1.524672E-02  8.968079E-03  1.524672E-02  8.968079E-03  -3.558472E-10  0.000000E+00  0.000000E+00  -1.940164E-08  -3.253281E-10  -3.268262E-10  -3.294592E-10  0.000000E+00  0.000000E+00
1.527566E-04  1.531734E-02  9.009613E-03  1.531734E-02  9.009612E-03  -3.545743E-10  0.000000E+00  0.000000E+00  -1.934612E-08  -3.239303E-10  -3.254404E-10  -3.280916E-10  0.000000E+00  0.000000E+00
1.541700E-04  1.538829E-02  9.051340E-03  1.538829E-02  9.051339E-03  -3.533030E-10  0.000000E+00  0.000000E+00  -1.929022E-08  -3.225338E-10  -3.240560E-10  -3.267256E-10  0.000000E+00  0.000000E+00
1.555966E-04  1.545957E-02  9.093261E-03  1.545957E-02  9.093261E-03  -3.520332E-10  0.000000E+00  0.000000E+00  -1.923394E-08  -3.211385E-10  -3.226729E-10  -3.253610E-10  0.000000E+00  0.000000E+00
1.570363E-04  1.553118E-02  9.135377E-03  1.553118E-02  9.135377E-03  -3.507651E-10  0.000000E+00  0.000000E+00  -1.917728E-08  -3.197445E-10  -3.212911E-10  -3.239978E-10  0.000000E+00  0.000000E+00
1.584893E-04  1.560313E-02  9.177690E-03  1.560313E-02  9.177690E-03  -3.494984E-10  0.000000E+00  0.000000E+00  -1.912024E-08  -3.183517E-10  -3.199107E-10  -3.226362E-10  0.000000E+00  0.000000E+00
1.599558E-04  1.567541E-02  9.220200E-03  1.567541E-02  9.220200E-03  -3.482334E-10  0.000000E+00  0.000000E+00  -1.906283E-08  -3.169603E-10  -3.185317E-10  -3.212760E-10  0.000000E+00  0.000000E+00
1.614359E-04  1.574803E-02  9.262908E-03  1.574803E-02  9.262908E-03  -3.469699E-10  0.000000E+00  0.000000E+00  -1.900505E-08  -3.155701E-10  -3.171540E-10  -3.199173E-10  0.000000E+00  0.000000E+00
