model:2	Q0^2=1.117	Q^2=10.000 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb
1.000000E-04  1.763247E-02  1.109033E-02  8.289669E-01  8.243111E-01  8.120073E-01  5.523230E-01  0.000000E+00  1.717175E+01  8.113344E-01  8.132207E-01  8.116398E-01  5.520787E-01  0.000000E+00
1.009253E-04  1.771329E-02  1.114039E-02  8.269242E-01  8.222463E-01  8.098853E-01  5.508212E-01  0.000000E+00  1.713754E+01  8.092109E-01  8.111059E-01  8.095173E-01  5.505767E-01  0.000000E+00
1.018591E-04  1.779449E-02  1.119068E-02  8.248859E-01  8.201859E-01  8.077673E-01  5.493227E-01  0.000000E+00  1.710337E+01  8.070914E-01  8.089952E-01  8.073990E-01  5.490779E-01  0.000000E+00
1.028016E-04  1.787605E-02  1.124119E-02  8.228520E-01  8.181297E-01  8.056534E-01  5.478273E-01  0.000000E+00  1.706923E+01  8.049760E-01  8.068885E-01  8.052847E-01  5.475822E-01  0.000000E+00
1.037528E-04  1.795799E-02  1.129193E-02  8.208226E-01  8.160779E-01  8.035435E-01  5.463351E-01  0.000000E+00  1.703512E+01  8.028646E-01  8.047860E-01  8.031744E-01  5.460898E-01  0.000000E+00
1.047129E-04  1.804030E-02  1.134289E-02  8.187976E-01  8.140304E-01  8.014376E-01  5.448461E-01  0.000000E+00  1.700105E+01  8.007573E-01  8.026875E-01  8.010682E-01  5.446005E-01  0.000000E+00
1.056818E-04  1.812298E-02  1.139409E-02  8.167769E-01  8.119872E-01  7.993358E-01  5.433602E-01  0.000000E+00  1.696702E+01  7.986539E-01  8.005931E-01  7.989660E-01  5.431144E-01  0.000000E+00
1.066596E-04  1.820604E-02  1.144551E-02  8.147607E-01  8.099482E-01  7.972380E-01  5.418775E-01  0.000000E+00  1.693303E+01  7.965547E-01  7.985027E-01  7.968679E-01  5.416315E-01  0.000000E+00
1.076465E-04  1.828948E-02  1.149716E-02  8.127489E-01  8.079136E-01  7.951443E-01  5.403980E-01  0.000000E+00  1.689907E+01  7.944594E-01  7.964165E-01  7.947737E-01  5.401517E-01  0.000000E+00
1.086426E-04  1.837330E-02  1.154904E-02  8.107414E-01  8.058833E-01  7.930545E-01  5.389216E-01  0.000000E+00  1.686514E+01  7.923681E-01  7.943342E-01  7.926836E-01  5.386751E-01  0.000000E+00
1.096478E-04  1.845750E-02  1.160116E-02  8.087384E-01  8.038572E-01  7.909688E-01  5.374484E-01  0.000000E+00  1.683125E+01  7.902809E-01  7.922561E-01  7.905975E-01  5.372016E-01  0.000000E+00
1.106624E-04  1.854209E-02  1.165351E-02  8.067398E-01  8.018355E-01  7.888871E-01  5.359783E-01  0.000000E+00  1.679740E+01  7.881977E-01  7.901820E-01  7.885155E-01  5.357313E-01  0.000000E+00
1.116863E-04  1.862706E-02  1.170609E-02  8.047455E-01  7.998180E-01  7.868093E-01  5.345113E-01  0.000000E+00  1.676359E+01  7.861185E-01  7.881119E-01  7.864374E-01  5.342641E-01  0.000000E+00
1.127197E-04  1.871241E-02  1.175891E-02  8.027556E-01  7.978047E-01  7.847356E-01  5.330475E-01  0.000000E+00  1.672981E+01  7.840432E-01  7.860458E-01  7.843633E-01  5.328000E-01  0.000000E+00
1.137627E-04  1.879816E-02  1.181196E-02  8.007701E-01  7.957958E-01  7.826659E-01  5.315868E-01  0.000000E+00  1.669606E+01  7.819720E-01  7.839838E-01  7.822932E-01  5.313391E-01  0.000000E+00
1.148154E-04  1.888430E-02  1.186525E-02  7.987890E-01  7.937911E-01  7.806001E-01  5.301292E-01  0.000000E+00  1.666236E+01  7.799047E-01  7.819259E-01  7.802271E-01  5.298813E-01  0.000000E+00
1.158777E-04  1.897083E-02  1.191878E-02  7.968123E-01  7.917907E-01  7.785383E-01  5.286748E-01  0.000000E+00  1.662869E+01  7.778415E-01  7.798719E-01  7.781650E-01  5.284267E-01  0.000000E+00
1.169499E-04  1.905775E-02  1.197255E-02  7.948399E-01  7.897945E-01  7.764805E-01  5.272235E-01  0.000000E+00  1.659505E+01  7.757822E-01  7.778220E-01  7.761069E-01  5.269751E-01  0.000000E+00
