MMHT2014nnlo68cl	1.000 GeV
x	q(x)	delta_q	xq(x)	delta_xq(x)
9.375620E-03	6.234567E+00	5.844740E-01	5.845293E-02	5.479806E-03
9.462372E-03	6.207902E+00	5.777398E-01	5.874147E-02	5.466789E-03
9.549926E-03	6.181435E+00	5.710861E-01	5.903225E-02	5.453830E-03
9.638290E-03	6.155173E+00	5.645123E-01	5.932534E-02	5.440933E-03
9.727472E-03	6.129117E+00	5.580178E-01	5.962082E-02	5.428102E-03
9.817479E-03	6.103273E+00	5.516021E-01	5.991876E-02	5.415342E-03
9.908319E-03	6.077644E+00	5.452647E-01	6.021924E-02	5.402657E-03
1.000000E-02	6.052233E+00	5.390054E-01	6.052233E-02	5.390054E-03
1.198397E-02	5.564547E+00	4.386836E-01	6.668535E-02	5.257170E-03
1.396794E-02	5.188367E+00	3.811216E-01	7.247078E-02	5.323483E-03
1.595190E-02	4.887875E+00	3.490371E-01	7.797091E-02	5.567806E-03
1.793587E-02	4.639780E+00	3.323299E-01	8.321850E-02	5.960627E-03
1.991984E-02	4.438592E+00	3.221447E-01	8.841604E-02	6.417071E-03
2.190381E-02	4.269789E+00	3.157968E-01	9.352463E-02	6.917152E-03
2.388778E-02	4.121472E+00	3.123236E-01	9.845280E-02	7.460716E-03
2.587174E-02	3.991054E+00	3.096828E-01	1.032555E-01	8.012035E-03
2.785571E-02	3.876005E+00	3.068075E-01	1.079689E-01	8.546340E-03
2.983968E-02	3.774060E+00	3.032199E-01	1.126167E-01	9.047985E-03
3.182365E-02	3.682674E+00	2.994103E-01	1.171961E-01	9.528326E-03
3.380762E-02	3.600361E+00	2.957261E-01	1.217196E-01	9.997793E-03
3.579158E-02	3.526795E+00	2.916055E-01	1.262296E-01	1.043702E-02
3.777555E-02	3.461377E+00	2.867511E-01	1.307554E-01	1.083218E-02
3.975952E-02	3.403392E+00	2.810400E-01	1.353172E-01	1.117401E-02
4.174349E-02	3.350779E+00	2.749397E-01	1.398732E-01	1.147694E-02
4.372745E-02	3.301044E+00	2.691447E-01	1.443463E-01	1.176901E-02
4.571142E-02	3.253973E+00	2.635620E-01	1.487438E-01	1.204779E-02
4.769539E-02	3.209378E+00	2.581175E-01	1.530725E-01	1.231102E-02
4.967936E-02	3.167079E+00	2.527596E-01	1.573384E-01	1.255693E-02
5.166333E-02	3.126906E+00	2.474529E-01	1.615464E-01	1.278424E-02
5.364729E-02	3.088703E+00	2.421749E-01	1.657005E-01	1.299203E-02
5.563126E-02	3.052323E+00	2.369118E-01	1.698046E-01	1.317970E-02
5.761523E-02	3.017633E+00	2.316568E-01	1.738616E-01	1.334696E-02
5.959920E-02	2.984511E+00	2.264078E-01	1.778745E-01	1.349372E-02
6.158317E-02	2.953123E+00	2.211728E-01	1.818627E-01	1.362052E-02
6.356713E-02	2.923742E+00	2.159934E-01	1.858539E-01	1.373008E-02
6.555110E-02	2.895978E+00	2.109069E-01	1.898346E-01	1.382518E-02
6.753507E-02	2.869507E+00	2.059376E-01	1.937924E-01	1.390801E-02
6.951904E-02	2.844071E+00	2.010993E-01	1.977171E-01	1.398023E-02
7.150301E-02	2.819465E+00	1.963986E-01	2.016002E-01	1.404309E-02
7.348697E-02	2.795526E+00	1.918370E-01	2.054348E-01	1.409752E-02
7.547094E-02	2.772125E+00	1.874119E-01	2.092149E-01	1.414415E-02
7.745491E-02	2.749159E+00	1.831183E-01	2.129359E-01	1.418341E-02
7.943888E-02	2.726548E+00	1.789497E-01	2.165939E-01	1.421557E-02
8.142285E-02	2.704406E+00	1.748916E-01	2.202004E-01	1.424017E-02
8.340681E-02	2.683104E+00	1.709263E-01	2.237892E-01	1.425642E-02
8.539078E-02	2.662515E+00	1.670613E-01	2.273542E-01	1.426550E-02
8.737475E-02	2.642507E+00	1.633012E-01	2.308884E-01	1.426840E-02
8.935872E-02	2.622972E+00	1.596472E-01	2.343854E-01	1.426587E-02
9.134269E-02	2.603823E+00	1.560982E-01	2.378401E-01	1.425843E-02
9.332665E-02	2.584985E+00	1.526512E-01	2.412480E-01	1.424642E-02
9.531062E-02	2.566398E+00	1.493017E-01	2.446050E-01	1.423004E-02
9.729459E-02	2.548014E+00	1.460447E-01	2.479080E-01	1.420936E-02
9.927856E-02	2.529792E+00	1.428743E-01	2.511541E-01	1.418435E-02
1.012625E-01	2.511772E+00	1.397857E-01	2.543484E-01	1.415505E-02
1.032465E-01	2.494164E+00	1.367808E-01	2.575137E-01	1.412214E-02
1.052305E-01	2.476924E+00	1.338616E-01	2.606478E-01	1.408631E-02
1.072144E-01	2.459992E+00	1.310281E-01	2.637467E-01	1.404811E-02
1.091984E-01	2.443321E+00	1.282797E-01	2.668067E-01	1.400794E-02
1.111824E-01	2.426866E+00	1.256145E-01	2.698248E-01	1.396612E-02
1.131663E-01	2.410594E+00	1.230302E-01	2.727981E-01	1.392288E-02
1.151503E-01	2.394474E+00	1.205238E-01	2.757244E-01	1.387836E-02
1.171343E-01	2.378480E+00	1.180921E-01	2.786015E-01	1.383263E-02
1.191182E-01	2.362591E+00	1.157314E-01	2.814277E-01	1.378573E-02
1.211022E-01	2.346790E+00	1.134383E-01	2.842014E-01	1.373762E-02
1.230862E-01	2.331061E+00	1.112088E-01	2.869214E-01	1.368826E-02
1.250701E-01	2.315394E+00	1.090394E-01	2.895866E-01	1.363757E-02
1.270541E-01	2.299897E+00	1.069182E-01	2.922114E-01	1.358440E-02
1.290381E-01	2.284647E+00	1.048394E-01	2.948064E-01	1.352828E-02
1.310220E-01	2.269607E+00	1.028056E-01	2.973685E-01	1.346980E-02
1.330060E-01	2.254746E+00	1.008186E-01	2.998947E-01	1.340948E-02
1.349900E-01	2.240037E+00	9.887958E-02	3.023826E-01	1.334775E-02
1.369739E-01	2.225457E+00	9.698922E-02	3.048297E-01	1.328500E-02
1.389579E-01	2.210986E+00	9.514765E-02	3.072340E-01	1.322152E-02
1.409419E-01	2.196606E+00	9.335463E-02	3.095938E-01	1.315758E-02
1.429259E-01	2.182301E+00	9.160958E-02	3.119073E-01	1.309338E-02
1.449098E-01	2.168060E+00	8.991167E-02	3.141731E-01	1.302908E-02
1.468938E-01	2.153869E+00	8.825983E-02	3.163900E-01	1.296482E-02
1.488778E-01	2.139721E+00	8.665283E-02	3.185569E-01	1.290068E-02
1.508617E-01	2.125619E+00	8.508797E-02	3.206746E-01	1.283652E-02
1.528457E-01	2.111655E+00	8.355427E-02	3.227574E-01	1.277091E-02
