MMHT2014lo68cl	1.00 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb  Exuv  Exdv  Exu  Exd  Exs  Exc  Exb  Exg  Exub  Exdb  Exsb  Excb  Exbb
1.137627E-04  3.245353E-02  1.554013E-02  5.135099E-01  4.976110E-01  2.780777E-01  0.000000E+00  0.000000E+00  1.708255E+00  4.810564E-01  4.820708E-01  2.782060E-01  0.000000E+00  0.000000E+00  4.736866E-03  4.752220E-03  3.584521E-02  3.592794E-02  7.697006E-02  0.000000E+00  0.000000E+00  1.545308E+00  3.594033E-02  3.609048E-02  7.697656E-02  0.000000E+00  0.000000E+00
1.148154E-04  3.256052E-02  1.559075E-02  5.130132E-01  4.970639E-01  2.777776E-01  0.000000E+00  0.000000E+00  1.699781E+00  4.804526E-01  4.814732E-01  2.779069E-01  0.000000E+00  0.000000E+00  4.741290E-03  4.758220E-03  3.577277E-02  3.585765E-02  7.688425E-02  0.000000E+00  0.000000E+00  1.535069E+00  3.587113E-02  3.602121E-02  7.689082E-02  0.000000E+00  0.000000E+00
1.158777E-04  3.266767E-02  1.564147E-02  5.125164E-01  4.965169E-01  2.774774E-01  0.000000E+00  0.000000E+00  1.691322E+00  4.798488E-01  4.808754E-01  2.776079E-01  0.000000E+00  0.000000E+00  4.745714E-03  4.764226E-03  3.570061E-02  3.578764E-02  7.679851E-02  0.000000E+00  0.000000E+00  1.524866E+00  3.580221E-02  3.595221E-02  7.680515E-02  0.000000E+00  0.000000E+00
1.169499E-04  3.277500E-02  1.569228E-02  5.120198E-01  4.959698E-01  2.771773E-01  0.000000E+00  0.000000E+00  1.682878E+00  4.792448E-01  4.802775E-01  2.773088E-01  0.000000E+00  0.000000E+00  4.750136E-03  4.770237E-03  3.562873E-02  3.571791E-02  7.671283E-02  0.000000E+00  0.000000E+00  1.514699E+00  3.573358E-02  3.588348E-02  7.671955E-02  0.000000E+00  0.000000E+00
1.180321E-04  3.288250E-02  1.574319E-02  5.115232E-01  4.954228E-01  2.768771E-01  0.000000E+00  0.000000E+00  1.674450E+00  4.786407E-01  4.796796E-01  2.770097E-01  0.000000E+00  0.000000E+00  4.754556E-03  4.776252E-03  3.555712E-02  3.564845E-02  7.662724E-02  0.000000E+00  0.000000E+00  1.504570E+00  3.566522E-02  3.581502E-02  7.663402E-02  0.000000E+00  0.000000E+00
1.191242E-04  3.299020E-02  1.579421E-02  5.110267E-01  4.948758E-01  2.765769E-01  0.000000E+00  0.000000E+00  1.666038E+00  4.780365E-01  4.790816E-01  2.767107E-01  0.000000E+00  0.000000E+00  4.758973E-03  4.782271E-03  3.548579E-02  3.557927E-02  7.654171E-02  0.000000E+00  0.000000E+00  1.494478E+00  3.559715E-02  3.574683E-02  7.654857E-02  0.000000E+00  0.000000E+00
1.202264E-04  3.309808E-02  1.584533E-02  5.105303E-01  4.943288E-01  2.762767E-01  0.000000E+00  0.000000E+00  1.657642E+00  4.774322E-01  4.784834E-01  2.764116E-01  0.000000E+00  0.000000E+00  4.763386E-03  4.788292E-03  3.541475E-02  3.551037E-02  7.645625E-02  0.000000E+00  0.000000E+00  1.484424E+00  3.552935E-02  3.567891E-02  7.646319E-02  0.000000E+00  0.000000E+00
1.213389E-04  3.320617E-02  1.589657E-02  5.100339E-01  4.937818E-01  2.759765E-01  0.000000E+00  0.000000E+00  1.649263E+00  4.768278E-01  4.778852E-01  2.761125E-01  0.000000E+00  0.000000E+00  4.767794E-03  4.794315E-03  3.534398E-02  3.544175E-02  7.637087E-02  0.000000E+00  0.000000E+00  1.474409E+00  3.546184E-02  3.561125E-02  7.637788E-02  0.000000E+00  0.000000E+00
1.224616E-04  3.331447E-02  1.594794E-02  5.095377E-01  4.932348E-01  2.756762E-01  0.000000E+00  0.000000E+00  1.640901E+00  4.762232E-01  4.772869E-01  2.758133E-01  0.000000E+00  0.000000E+00  4.772197E-03  4.800339E-03  3.527349E-02  3.537342E-02  7.628556E-02  0.000000E+00  0.000000E+00  1.464432E+00  3.539461E-02  3.554387E-02  7.629264E-02  0.000000E+00  0.000000E+00
1.235947E-04  3.342299E-02  1.599942E-02  5.090415E-01  4.926878E-01  2.753760E-01  0.000000E+00  0.000000E+00  1.632557E+00  4.756185E-01  4.766884E-01  2.755142E-01  0.000000E+00  0.000000E+00  4.776594E-03  4.806363E-03  3.520328E-02  3.530536E-02  7.620033E-02  0.000000E+00  0.000000E+00  1.454494E+00  3.532767E-02  3.547677E-02  7.620748E-02  0.000000E+00  0.000000E+00
