model:2	Q0^2=1.12	Q^2=10.00 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb
1.000000E-04  1.898361E-02  1.186913E-02  1.547760E-01  1.477933E-01  1.364634E-01  9.555004E-02  0.000000E+00  2.269259E+00  1.357924E-01  1.359242E-01  1.361015E-01  9.530947E-02  0.000000E+00
1.009253E-04  1.906827E-02  1.192129E-02  1.545968E-01  1.475822E-01  1.362011E-01  9.534390E-02  0.000000E+00  2.267060E+00  1.355286E-01  1.356609E-01  1.358388E-01  9.510309E-02  0.000000E+00
1.018591E-04  1.915330E-02  1.197368E-02  1.544183E-01  1.473716E-01  1.359390E-01  9.513803E-02  0.000000E+00  2.264859E+00  1.352650E-01  1.353979E-01  1.355763E-01  9.489698E-02  0.000000E+00
1.028016E-04  1.923871E-02  1.202630E-02  1.542405E-01  1.471614E-01  1.356772E-01  9.493242E-02  0.000000E+00  2.262654E+00  1.350018E-01  1.351351E-01  1.353142E-01  9.469113E-02  0.000000E+00
1.037528E-04  1.932449E-02  1.207915E-02  1.540632E-01  1.469518E-01  1.354156E-01  9.472708E-02  0.000000E+00  2.260445E+00  1.347387E-01  1.348726E-01  1.350523E-01  9.448556E-02  0.000000E+00
1.047129E-04  1.941066E-02  1.213222E-02  1.538866E-01  1.467426E-01  1.351543E-01  9.452200E-02  0.000000E+00  2.258233E+00  1.344760E-01  1.346104E-01  1.347906E-01  9.428025E-02  0.000000E+00
1.056818E-04  1.949721E-02  1.218553E-02  1.537107E-01  1.465339E-01  1.348933E-01  9.431719E-02  0.000000E+00  2.256018E+00  1.342134E-01  1.343484E-01  1.345292E-01  9.407520E-02  0.000000E+00
1.066596E-04  1.958414E-02  1.223907E-02  1.535353E-01  1.463257E-01  1.346325E-01  9.411264E-02  0.000000E+00  2.253800E+00  1.339512E-01  1.340866E-01  1.342681E-01  9.387043E-02  0.000000E+00
1.076465E-04  1.967146E-02  1.229284E-02  1.533606E-01  1.461180E-01  1.343719E-01  9.390835E-02  0.000000E+00  2.251578E+00  1.336892E-01  1.338251E-01  1.340072E-01  9.366592E-02  0.000000E+00
1.086426E-04  1.975916E-02  1.234685E-02  1.531866E-01  1.459107E-01  1.341116E-01  9.370433E-02  0.000000E+00  2.249353E+00  1.334274E-01  1.335639E-01  1.337466E-01  9.346168E-02  0.000000E+00
1.096478E-04  1.984725E-02  1.240109E-02  1.530132E-01  1.457040E-01  1.338516E-01  9.350057E-02  0.000000E+00  2.247125E+00  1.331659E-01  1.333029E-01  1.334862E-01  9.325770E-02  0.000000E+00
1.106624E-04  1.993574E-02  1.245556E-02  1.528404E-01  1.454977E-01  1.335918E-01  9.329708E-02  0.000000E+00  2.244893E+00  1.329047E-01  1.330422E-01  1.332261E-01  9.305399E-02  0.000000E+00
1.116863E-04  2.002461E-02  1.251028E-02  1.526683E-01  1.452920E-01  1.333323E-01  9.309385E-02  0.000000E+00  2.242659E+00  1.326437E-01  1.327817E-01  1.329662E-01  9.285055E-02  0.000000E+00
1.127197E-04  2.011388E-02  1.256523E-02  1.524968E-01  1.450867E-01  1.330730E-01  9.289089E-02  0.000000E+00  2.240421E+00  1.323829E-01  1.325215E-01  1.327066E-01  9.264738E-02  0.000000E+00
1.137627E-04  2.020355E-02  1.262042E-02  1.523260E-01  1.448820E-01  1.328140E-01  9.268819E-02  0.000000E+00  2.238180E+00  1.321225E-01  1.322615E-01  1.324473E-01  9.244447E-02  0.000000E+00
