MMHT2014nlo68cl	1.12 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb  xdb-ub  Exuv  Exdv  Exu  Exd  Exs  Exc  Exb  Exg  Exub  Exdb  Exsb  Excb  Exbb  Exdb-ub
1.127197E-04  7.645751E-03  3.250390E-03  4.610374E-01  4.566624E-01  2.692028E-01  0.000000E+00  0.000000E+00  -1.566121E-01  4.533916E-01  4.534120E-01  2.713491E-01  0.000000E+00  0.000000E+00  2.037655E-05  2.272969E-03  1.604676E-03  5.990539E-02  5.920940E-02  2.450039E-01  0.000000E+00  0.000000E+00  1.847308E+00  5.932626E-02  5.932774E-02  2.454107E-01  0.000000E+00  0.000000E+00  3.824961E-05
1.137627E-04  7.697340E-03  3.276459E-03  4.602933E-01  4.558929E-01  2.687704E-01  0.000000E+00  0.000000E+00  -1.699977E-01  4.525960E-01  4.526165E-01  2.709210E-01  0.000000E+00  0.000000E+00  2.049042E-05  2.283714E-03  1.614088E-03  5.976702E-02  5.906730E-02  2.446145E-01  0.000000E+00  0.000000E+00  1.831514E+00  5.918568E-02  5.918724E-02  2.450221E-01  0.000000E+00  0.000000E+00  3.841119E-05
1.148154E-04  7.749059E-03  3.302600E-03  4.595497E-01  4.551239E-01  2.683383E-01  0.000000E+00  0.000000E+00  -1.833114E-01  4.518007E-01  4.518213E-01  2.704932E-01  0.000000E+00  0.000000E+00  2.059934E-05  2.294480E-03  1.623523E-03  5.962895E-02  5.892548E-02  2.442252E-01  0.000000E+00  0.000000E+00  1.815802E+00  5.904539E-02  5.904703E-02  2.446336E-01  0.000000E+00  0.000000E+00  3.854846E-05
1.158777E-04  7.800919E-03  3.328820E-03  4.588066E-01  4.543552E-01  2.679064E-01  0.000000E+00  0.000000E+00  -1.965525E-01  4.510057E-01  4.510264E-01  2.700657E-01  0.000000E+00  0.000000E+00  2.070345E-05  2.305268E-03  1.632982E-03  5.949115E-02  5.878392E-02  2.438359E-01  0.000000E+00  0.000000E+00  1.800173E+00  5.890540E-02  5.890710E-02  2.442452E-01  0.000000E+00  0.000000E+00  3.866227E-05
1.169499E-04  7.852929E-03  3.355125E-03  4.580639E-01  4.535869E-01  2.674749E-01  0.000000E+00  0.000000E+00  -2.097205E-01  4.502110E-01  4.502318E-01  2.696385E-01  0.000000E+00  0.000000E+00  2.080293E-05  2.316078E-03  1.642465E-03  5.935365E-02  5.864265E-02  2.434468E-01  0.000000E+00  0.000000E+00  1.784626E+00  5.876569E-02  5.876747E-02  2.438570E-01  0.000000E+00  0.000000E+00  3.875348E-05
1.180321E-04  7.905099E-03  3.381523E-03  4.573218E-01  4.528191E-01  2.670436E-01  0.000000E+00  0.000000E+00  -2.228148E-01  4.494167E-01  4.494376E-01  2.692115E-01  0.000000E+00  0.000000E+00  2.089794E-05  2.326910E-03  1.651973E-03  5.921644E-02  5.850165E-02  2.430578E-01  0.000000E+00  0.000000E+00  1.769163E+00  5.862627E-02  5.862812E-02  2.434688E-01  0.000000E+00  0.000000E+00  3.882294E-05
1.191242E-04  7.957439E-03  3.408020E-03  4.565801E-01  4.520517E-01  2.666126E-01  0.000000E+00  0.000000E+00  -2.358349E-01  4.486227E-01  4.486437E-01  2.687848E-01  0.000000E+00  0.000000E+00  2.098864E-05  2.337765E-03  1.661506E-03  5.907952E-02  5.836093E-02  2.426689E-01  0.000000E+00  0.000000E+00  1.753784E+00  5.848715E-02  5.848906E-02  2.430807E-01  0.000000E+00  0.000000E+00  3.887155E-05
1.202264E-04  8.009958E-03  3.434623E-03  4.558390E-01  4.512848E-01  2.661819E-01  0.000000E+00  0.000000E+00  -2.487801E-01  4.478291E-01  4.478501E-01  2.683585E-01  0.000000E+00  0.000000E+00  2.107519E-05  2.348643E-03  1.671065E-03  5.894290E-02  5.822049E-02  2.422801E-01  0.000000E+00  0.000000E+00  1.738489E+00  5.834832E-02  5.835030E-02  2.426927E-01  0.000000E+00  0.000000E+00  3.890018E-05
1.213389E-04  8.062667E-03  3.461338E-03  4.550984E-01  4.505183E-01  2.657515E-01  0.000000E+00  0.000000E+00  -2.616498E-01  4.470358E-01  4.470569E-01  2.679324E-01  0.000000E+00  0.000000E+00  2.115776E-05  2.359544E-03  1.680651E-03  5.880656E-02  5.808033E-02  2.418913E-01  0.000000E+00  0.000000E+00  1.723281E+00  5.820979E-02  5.821184E-02  2.423048E-01  0.000000E+00  0.000000E+00  3.890975E-05
1.224616E-04  8.115576E-03  3.488173E-03  4.543584E-01  4.497522E-01  2.653214E-01  0.000000E+00  0.000000E+00  -2.744436E-01  4.462428E-01  4.462641E-01  2.675066E-01  0.000000E+00  0.000000E+00  2.123651E-05  2.370469E-03  1.690264E-03  5.867053E-02  5.794045E-02  2.415027E-01  0.000000E+00  0.000000E+00  1.708158E+00  5.807155E-02  5.807367E-02  2.419171E-01  0.000000E+00  0.000000E+00  3.890115E-05
