MMHT2014nnlo68cl	1.100 GeV
x	q(x)	delta_q	xq(x)	delta_xq(x)
1.000000E-04	4.252376E+01	2.139295E+01	4.252376E-03	2.139295E-03
1.009253E-04	4.240900E+01	2.129399E+01	4.280140E-03	2.149102E-03
1.018591E-04	4.229288E+01	2.119520E+01	4.307917E-03	2.158924E-03
1.028016E-04	4.217550E+01	2.109659E+01	4.335710E-03	2.168763E-03
1.037528E-04	4.205691E+01	2.099816E+01	4.363523E-03	2.178619E-03
1.047129E-04	4.193718E+01	2.089993E+01	4.391362E-03	2.188491E-03
1.056818E-04	4.181640E+01	2.080190E+01	4.419230E-03	2.198381E-03
1.066596E-04	4.169462E+01	2.070406E+01	4.447132E-03	2.208287E-03
1.076465E-04	4.157190E+01	2.060644E+01	4.475071E-03	2.218211E-03
1.086426E-04	4.144832E+01	2.050902E+01	4.503052E-03	2.228153E-03
1.096478E-04	4.132393E+01	2.041182E+01	4.531079E-03	2.238112E-03
1.106624E-04	4.119880E+01	2.031485E+01	4.559157E-03	2.248089E-03
1.116863E-04	4.107297E+01	2.021809E+01	4.587289E-03	2.258085E-03
1.127197E-04	4.094651E+01	2.012157E+01	4.615481E-03	2.268098E-03
1.137627E-04	4.081948E+01	2.002528E+01	4.643735E-03	2.278131E-03
1.148154E-04	4.069192E+01	1.992923E+01	4.672057E-03	2.288182E-03
1.158777E-04	4.056388E+01	1.983342E+01	4.700451E-03	2.298252E-03
1.169499E-04	4.043542E+01	1.973786E+01	4.728920E-03	2.308342E-03
1.180321E-04	4.030659E+01	1.964255E+01	4.757470E-03	2.318451E-03
1.191242E-04	4.017743E+01	1.954749E+01	4.786104E-03	2.328579E-03
1.202264E-04	4.004799E+01	1.945269E+01	4.814827E-03	2.338728E-03
1.213389E-04	3.991830E+01	1.935815E+01	4.843642E-03	2.348897E-03
1.224616E-04	3.978843E+01	1.926388E+01	4.872555E-03	2.359086E-03
1.235947E-04	3.965839E+01	1.916987E+01	4.901569E-03	2.369296E-03
1.247384E-04	3.952825E+01	1.907614E+01	4.930689E-03	2.379526E-03
1.258925E-04	3.939803E+01	1.898268E+01	4.959918E-03	2.389778E-03
1.270574E-04	3.926777E+01	1.888950E+01	4.989262E-03	2.400050E-03
1.282331E-04	3.913752E+01	1.879659E+01	5.018724E-03	2.410345E-03
1.294196E-04	3.900730E+01	1.870398E+01	5.048308E-03	2.420661E-03
1.306171E-04	3.887714E+01	1.861165E+01	5.078019E-03	2.430999E-03
1.318257E-04	3.874709E+01	1.851960E+01	5.107862E-03	2.441359E-03
1.330454E-04	3.861718E+01	1.842785E+01	5.137839E-03	2.451742E-03
1.342765E-04	3.848742E+01	1.833640E+01	5.167956E-03	2.462147E-03
1.355189E-04	3.835786E+01	1.824524E+01	5.198217E-03	2.472576E-03
1.367729E-04	3.822853E+01	1.815438E+01	5.228626E-03	2.483027E-03
1.380384E-04	3.809944E+01	1.806382E+01	5.259187E-03	2.493502E-03
1.393157E-04	3.797064E+01	1.797357E+01	5.289905E-03	2.504000E-03
1.406048E-04	3.784213E+01	1.788363E+01	5.320783E-03	2.514523E-03
1.419058E-04	3.771395E+01	1.779399E+01	5.351827E-03	2.525069E-03
1.432188E-04	3.758613E+01	1.770466E+01	5.383039E-03	2.535640E-03
1.445440E-04	3.745867E+01	1.761565E+01	5.414425E-03	2.546236E-03
1.458814E-04	3.733162E+01	1.752695E+01	5.445989E-03	2.556856E-03
1.472313E-04	3.720498E+01	1.743857E+01	5.477735E-03	2.567502E-03
1.485936E-04	3.707877E+01	1.735050E+01	5.509667E-03	2.578173E-03
1.499685E-04	3.695303E+01	1.726276E+01	5.541789E-03	2.588870E-03
1.513561E-04	3.682776E+01	1.717534E+01	5.574106E-03	2.599592E-03
1.527566E-04	3.670298E+01	1.708824E+01	5.606622E-03	2.610341E-03
1.541700E-04	3.657871E+01	1.700146E+01	5.639342E-03	2.621116E-03
1.555966E-04	3.645497E+01	1.691501E+01	5.672268E-03	2.631918E-03
1.570363E-04	3.633177E+01	1.682889E+01	5.705406E-03	2.642747E-03
1.584893E-04	3.620913E+01	1.674310E+01	5.738760E-03	2.653603E-03
1.599558E-04	3.608706E+01	1.665764E+01	5.772335E-03	2.664487E-03
1.614359E-04	3.596557E+01	1.657251E+01	5.806133E-03	2.675398E-03
1.629296E-04	3.584469E+01	1.648772E+01	5.840160E-03	2.686337E-03
1.644372E-04	3.572441E+01	1.640326E+01	5.874421E-03	2.697305E-03
1.659587E-04	3.560475E+01	1.631913E+01	5.908918E-03	2.708301E-03
1.674943E-04	3.548573E+01	1.623534E+01	5.943656E-03	2.719327E-03
