CT14nnlo	1.100 GeV
x	q(x)	delta_q	xq(x)	delta_xq(x)
1.000000E-04	2.372186E+01	2.819019E+01	2.372186E-03	2.819019E-03
1.009253E-04	2.366804E+01	2.807982E+01	2.388704E-03	2.833964E-03
1.018591E-04	2.361499E+01	2.796919E+01	2.405403E-03	2.848918E-03
1.028016E-04	2.356218E+01	2.785870E+01	2.422231E-03	2.863920E-03
1.037528E-04	2.350960E+01	2.774841E+01	2.439188E-03	2.878976E-03
1.047129E-04	2.345724E+01	2.763836E+01	2.456275E-03	2.894091E-03
1.056818E-04	2.340510E+01	2.752860E+01	2.473492E-03	2.909271E-03
1.066596E-04	2.335317E+01	2.741918E+01	2.490840E-03	2.924519E-03
1.076465E-04	2.330145E+01	2.731013E+01	2.508320E-03	2.939840E-03
1.086426E-04	2.324993E+01	2.720148E+01	2.525932E-03	2.955239E-03
1.096478E-04	2.319861E+01	2.709325E+01	2.543677E-03	2.970716E-03
1.106624E-04	2.314748E+01	2.698544E+01	2.561555E-03	2.986273E-03
1.116863E-04	2.309654E+01	2.687804E+01	2.579567E-03	3.001909E-03
1.127197E-04	2.304577E+01	2.677103E+01	2.597714E-03	3.017623E-03
1.137627E-04	2.299519E+01	2.666438E+01	2.615996E-03	3.033412E-03
1.148154E-04	2.294478E+01	2.655804E+01	2.634413E-03	3.049271E-03
1.158777E-04	2.289454E+01	2.645197E+01	2.652967E-03	3.065194E-03
1.169499E-04	2.284446E+01	2.634611E+01	2.671658E-03	3.081176E-03
1.180321E-04	2.279454E+01	2.624039E+01	2.690486E-03	3.097207E-03
1.191242E-04	2.274477E+01	2.613476E+01	2.709452E-03	3.113282E-03
1.202264E-04	2.269515E+01	2.602915E+01	2.728557E-03	3.129392E-03
1.213389E-04	2.264568E+01	2.592350E+01	2.747802E-03	3.145529E-03
1.224616E-04	2.259635E+01	2.581778E+01	2.767186E-03	3.161687E-03
1.235947E-04	2.254716E+01	2.571193E+01	2.786710E-03	3.177859E-03
1.247384E-04	2.249814E+01	2.560606E+01	2.806381E-03	3.194058E-03
1.258925E-04	2.244930E+01	2.550029E+01	2.826199E-03	3.210296E-03
1.270574E-04	2.240060E+01	2.539467E+01	2.846163E-03	3.226581E-03
1.282331E-04	2.235204E+01	2.528927E+01	2.866270E-03	3.242921E-03
1.294196E-04	2.230358E+01	2.518415E+01	2.886520E-03	3.259323E-03
1.306171E-04	2.225521E+01	2.507937E+01	2.906910E-03	3.275794E-03
1.318257E-04	2.220689E+01	2.497496E+01	2.927439E-03	3.292341E-03
1.330454E-04	2.215862E+01	2.487096E+01	2.948104E-03	3.308967E-03
1.342765E-04	2.211038E+01	2.476736E+01	2.968904E-03	3.325675E-03
1.355189E-04	2.206214E+01	2.466419E+01	2.989837E-03	3.342465E-03
1.367729E-04	2.201388E+01	2.456141E+01	3.010902E-03	3.359334E-03
1.380384E-04	2.196560E+01	2.445899E+01	3.032096E-03	3.376281E-03
1.393157E-04	2.191726E+01	2.435689E+01	3.053418E-03	3.393297E-03
1.406048E-04	2.186886E+01	2.425506E+01	3.074866E-03	3.410377E-03
1.419058E-04	2.182038E+01	2.415343E+01	3.096438E-03	3.427511E-03
1.432188E-04	2.177181E+01	2.405193E+01	3.118132E-03	3.444688E-03
1.445440E-04	2.172313E+01	2.395048E+01	3.139947E-03	3.461897E-03
1.458814E-04	2.167432E+01	2.384901E+01	3.161881E-03	3.479127E-03
1.472313E-04	2.162538E+01	2.374745E+01	3.183932E-03	3.496366E-03
1.485936E-04	2.157629E+01	2.364574E+01	3.206098E-03	3.513604E-03
1.499685E-04	2.152704E+01	2.354382E+01	3.228377E-03	3.530831E-03
1.513561E-04	2.147759E+01	2.344158E+01	3.250765E-03	3.548026E-03
1.527566E-04	2.142778E+01	2.333842E+01	3.273235E-03	3.565098E-03
1.541700E-04	2.137763E+01	2.323447E+01	3.295790E-03	3.582059E-03
1.555966E-04	2.132718E+01	2.312997E+01	3.318436E-03	3.598943E-03
1.570363E-04	2.127648E+01	2.302518E+01	3.341179E-03	3.615788E-03
1.584893E-04	2.122558E+01	2.292033E+01	3.364027E-03	3.632628E-03
1.599558E-04	2.117451E+01	2.281566E+01	3.386986E-03	3.649497E-03
1.614359E-04	2.112334E+01	2.271136E+01	3.410064E-03	3.666429E-03
1.629296E-04	2.107209E+01	2.260762E+01	3.433267E-03	3.683451E-03
1.644372E-04	2.102080E+01	2.250459E+01	3.456601E-03	3.700592E-03
1.659587E-04	2.096952E+01	2.240240E+01	3.480074E-03	3.717874E-03
1.674943E-04	2.091828E+01	2.230116E+01	3.503692E-03	3.735317E-03
1.690441E-04	2.086712E+01	2.220094E+01	3.527463E-03	3.752937E-03
1.706082E-04	2.081607E+01	2.210180E+01	3.551393E-03	3.770749E-03
1.721869E-04	2.076517E+01	2.200378E+01	3.575489E-03	3.788762E-03
1.737801E-04	2.071444E+01	2.190691E+01	3.599757E-03	3.806985E-03
1.753881E-04	2.066392E+01	2.181119E+01	3.624205E-03	3.825423E-03
1.770109E-04	2.061364E+01	2.171663E+01	3.648839E-03	3.844081E-03
1.786488E-04	2.056363E+01	2.162323E+01	3.673666E-03	3.862963E-03
1.803018E-04	2.051391E+01	2.153099E+01	3.698694E-03	3.882075E-03
1.819701E-04	2.046450E+01	2.143990E+01	3.723928E-03	3.901421E-03
1.836538E-04	2.041545E+01	2.135000E+01	3.749375E-03	3.921010E-03
1.853532E-04	2.036644E+01	2.126165E+01	3.774983E-03	3.940914E-03
1.870682E-04	2.031672E+01	2.117560E+01	3.800613E-03	3.961281E-03
1.887991E-04	2.026641E+01	2.109168E+01	3.826280E-03	3.982091E-03
1.905461E-04	2.021563E+01	2.100970E+01	3.852009E-03	4.003316E-03
1.923092E-04	2.016453E+01	2.092947E+01	3.877825E-03	4.024929E-03
1.940886E-04	2.011325E+01	2.085078E+01	3.903752E-03	4.046899E-03
1.958845E-04	2.006190E+01	2.077344E+01	3.929815E-03	4.069194E-03
1.976970E-04	2.001062E+01	2.069721E+01	3.956039E-03	4.091776E-03
1.995262E-04	1.995952E+01	2.062186E+01	3.982447E-03	4.114602E-03
2.013724E-04	1.990871E+01	2.054712E+01	4.009065E-03	4.137624E-03
2.032357E-04	1.985831E+01	2.047272E+01	4.035917E-03	4.160788E-03
2.051162E-04	1.980842E+01	2.039835E+01	4.063028E-03	4.184033E-03
2.070141E-04	1.975915E+01	2.032370E+01	4.090423E-03	4.207293E-03
2.089296E-04	1.971059E+01	2.024844E+01	4.118125E-03	4.230499E-03
2.108628E-04	1.966283E+01	2.017223E+01	4.146160E-03	4.253574E-03
2.128139E-04	1.961597E+01	2.009474E+01	4.174552E-03	4.276441E-03
2.147830E-04	1.957010E+01	2.001563E+01	4.203325E-03	4.299017E-03
2.167704E-04	1.952529E+01	1.993456E+01	4.232505E-03	4.321222E-03
2.187762E-04	1.948163E+01	1.985122E+01	4.262116E-03	4.342973E-03
2.208005E-04	1.943919E+01	1.976532E+01	4.292183E-03	4.364191E-03
2.228435E-04	1.939805E+01	1.967659E+01	4.322730E-03	4.384802E-03
2.249055E-04	1.935828E+01	1.958482E+01	4.353782E-03	4.404734E-03
