Q2	epsilon	error	sigma/sigma_D
0.01128	0.8343467170813925	0.00320720375562844	0.989332
0.011271999999999999	0.8344584782904912	0.003191578635596441	0.9929241
0.011286	0.8342629012867819	0.0032021457311441092	0.9914185999999999
0.011268	0.8345143618164971	0.0031652453568299585	0.9923315999999999
0.011286	0.8342629012867819	0.003910020583802208	0.9977134
0.011285	0.8342768702815997	0.003851389421019717	0.9903783000000002
0.011281	0.8343327474780025	0.0038627448045840196	0.9878982
0.011281	0.8343327474780025	0.003916928279204306	0.9922938
0.011269	0.8345003907523973	0.003877821094796057	0.9889109
0.011271999999999999	0.8344584782904912	0.004336465364399531	0.9944825999999999
0.011283	0.8343048086363721	0.004316736796911507	0.9892286
0.012837999999999999	0.8127288719947287	0.0037481330355174174	0.9992484
0.012836000000000002	0.812756435500413	0.003639333565721697	0.9895783000000001
0.01284	0.8127013089676999	0.0035819990294625337	0.990715
0.01284	0.8127013089676999	0.003586599354809795	0.988978
0.012837999999999999	0.8127288719947287	0.00368460174023679	0.9985101999999999
0.012837999999999999	0.8127288719947287	0.003692140593925915	0.9982923
0.014480000000000002	0.7902597897893012	0.003278898591543412	0.9915431
0.014480000000000002	0.7902597897893012	0.0032767305161843464	0.9915593
0.014481	0.7902462029573707	0.0032816511406603324	0.993451
0.014480000000000002	0.7902597897893012	0.003290037472117081	0.9925719999999999
0.016191999999999998	0.7671702323834209	0.0033186536068889466	0.9920336
0.016191999999999998	0.7671702323834209	0.0033081735929824	0.9892777
0.016197	0.7671032962901798	0.006336904596652464	0.9851943000000001
0.016193	0.7671568449340025	0.003252714975084052	0.9924661
0.016193	0.7671568449340025	0.0036963417581547912	0.993058
0.017978	0.743443000130123	0.005753292627637302	0.9872895
0.017979	0.7434298167905725	0.0034751942835684743	0.9823356
0.017975	0.7434825508279137	0.0031120576038353672	0.9923164000000001
0.019801	0.7195965310254474	0.005369181597512015	0.9893591999999999
0.019803	0.7195705731346431	0.0033649432073355754	0.9856027
0.019803	0.7195705731346431	0.005502948613418925	0.9829018
0.019803	0.7195705731346431	0.0038193109228156484	0.9868014999999999
0.019803	0.7195705731346431	0.0035201115135165217	0.986778
0.021699	0.6951608712256361	0.004112464719296318	0.9866159
0.021694	0.6952247250756455	0.002673753062977371	0.9838853000000001
0.021700999999999998	0.6951353304470751	0.0055283313036812885	0.9963605
0.0217	0.6951481007819679	0.0032564131987698436	0.9815812
0.021694	0.6952247250756455	0.0034542700810052214	0.9856447
0.023627000000000002	0.6707401494649239	0.003449447934989701	0.9814401
0.023633	0.6706647739345087	0.004004919859783558	0.9811390999999999
0.023634	0.6706522117191027	0.0031199813331431914	0.9861559999999999
0.023635	0.6706396496102643	0.003130486265640042	0.9864848
0.0256	0.6461595330614606	0.005048798582666655	0.9779260000000001
0.025593	0.6462460192843221	0.003211148654094938	0.977766
0.025599	0.646171887923004	0.00372647679316833	0.9781316999999999
0.025601	0.6461471783042984	0.005183939073967464	0.9848629000000001
0.025599	0.646171887923004	0.002668391383574882	0.9811348
0.027607999999999997	0.6215600394072249	0.004909399544734156	0.9817723
0.027602999999999996	0.6216207777164622	0.002804720316301026	0.9813738999999999
0.027602999999999996	0.6216207777164622	0.002883283683208559	0.9804233
0.027608999999999998	0.6215478920519985	0.002841545529982759	0.9776113000000001
0.029635	0.5971457402304053	0.0026359369203656606	0.9777232
0.031691000000000004	0.5728021418556501	0.002629132189020423	0.9805226999999999
0.033759	0.548734167619046	0.0027435787396780406	0.9802101999999999
0.033757999999999996	0.5487457060961116	0.0027366900239901796	0.9757655000000001
0.03587	0.5245886620595711	0.0027669570098667606	0.9847440000000001
0.035869	0.5246000002935661	0.0027743457630611816	0.984382
0.037961	0.5010841944182574	0.0027772366490996982	0.9809145
0.037962	0.5010730504042766	0.002772148190541524	0.9783351999999998
0.040052	0.47798135554563415	0.0026649146148076596	0.9784908000000001
0.042157	0.4551209715362945	0.0029132349087038927	0.9822459000000001
0.042158	0.45511020485634734	0.0029145826685717372	0.9805318000000001
0.044252	0.4327565309255371	0.0029793454381634274	0.9831595999999999
0.044255	0.432724778662745	0.002951177666697622	0.9774255999999999
0.046339	0.410853704651016	0.0045268268241498025	0.9767948000000001
0.046338	0.4108641108657844	0.0032922408647280193	0.9806718000000001
0.046336	0.4108849235486036	0.0030483598656970102	0.9801281999999999
0.048418	0.38940047656968274	0.004976325793078443	0.9773790000000001
0.048418	0.38940047656968274	0.003135443972170449	0.9820928
0.05047	0.36857642972884513	0.00514181497883138	0.9795928
0.050468	0.36859655880748293	0.003477687153274226	0.9808957
0.050467000000000005	0.3686066234683659	0.0032071080956935956	0.9733412
0.050466000000000004	0.3686166882102932	0.005539523526000574	0.9736101999999999
0.050467000000000005	0.3686066234683659	0.004162496588616201	0.9748493
0.050468	0.36859655880748293	0.0035028888435872044	0.9791620999999999
0.052490999999999996	0.348400572685525	0.005594861986669851	0.9822479
0.052492	0.3483906704348392	0.0032567262494453057	0.9821254999999999
0.054499	0.32867589817749093	0.0037741564580747945	0.9747709999999999
0.05449400000000001	0.32872462073512265	0.005706475223996954	0.9804398000000001
0.054495	0.3287148760677861	0.0031744552492173274	0.9764456
0.056484000000000006	0.3094859220583456	0.005566791335859296	0.9744345
0.056484000000000006	0.3094859220583456	0.003909435916739885	0.9831736999999999
0.056484000000000006	0.3094859220583456	0.003895657599738654	0.9790664000000001
0.058421	0.29105029098680174	0.005849192299063127	0.9802346
0.058421	0.29105029098680174	0.0039695895467489395	0.9799306999999999
0.058422	0.29104084648951145	0.0036773463808123462	0.9825145000000001
0.060326	0.27319369652752096	0.005713694953433345	0.9799268
0.060327	0.27318439358506397	0.0039340612773113145	0.9847985999999999
0.060327	0.27318439358506397	0.003976985122165026	0.9786461999999999
0.060327	0.27318439358506397	0.003980473382026161	0.979584
0.060326	0.27319369652752096	0.0039633250570357895	0.9819353999999999
0.062203999999999995	0.25585176223123435	0.005348556039652584	0.9889484000000001
0.062203999999999995	0.25585176223123435	0.003882419500288006	0.9774475
0.062203999999999995	0.25585176223123435	0.0036134926041547165	0.9806709000000001
0.064042	0.23912618587529855	0.005544330179246162	0.9818041
0.06404299999999999	0.23911715171455492	0.00441439481325816	0.9772877000000001
0.064044	0.23910811762486447	0.00367690905883834	0.9807171999999998
0.065843	0.2229701777757968	0.005755808388498017	0.9790829
0.065844	0.2229612704919137	0.004073317488709219	0.9819421999999999
0.065838	0.223014715242931	0.00376867699939503	0.9832934000000001
0.054498000000000005	0.32868564253320853	0.0036523568035695055	0.9860211
0.003843	0.941698975588089	0.004557873399500332	0.9950863000000001
0.003839	0.9417586288748369	0.004541834883641665	0.9984134
0.004031	0.9388976548022188	0.004673233717546802	0.9942046999999998
0.004028	0.9389423201046484	0.00462112029834082	0.9925642
0.004031	0.9388976548022188	0.004789525947147688	1.0000514999999999
0.004031	0.9388976548022188	0.004718240629472084	0.9926021
0.004227000000000001	0.9359820919393965	0.0048001403725906056	0.9953972
0.004425999999999999	0.9330270752346596	0.004805024880091361	0.9992711
0.004425999999999999	0.9330270752346596	0.004753766409614915	0.9951851
0.004626	0.9300624483206965	0.005327993557130669	0.9925083
0.004626	0.9300624483206965	0.005317091824532893	0.9897181
0.004626	0.9300624483206965	0.004522206914103284	0.9975261000000001
0.004625	0.9300772584096478	0.004416187535616983	0.9947113000000001
0.004833	0.9269995782077282	0.004371058423477442	0.9939621
0.004838	0.9269256651668767	0.004364956602591975	0.9891423
0.005051	0.9237800018318653	0.004535269205659216	1.001099
0.005047	0.9238390207731905	0.004546510493985754	1.0012091
0.005046	0.9238537758345167	0.003966505012263358	0.9956915999999999
0.005046	0.9238537758345167	0.0039642808840217	0.9957003000000001
0.0052710000000000005	0.9205371703787147	0.004011590575653879	1.0001859
0.0052710000000000005	0.9205371703787147	0.004019375491548519	0.9984995000000001
0.005272	0.9205224446206391	0.004012352649159863	0.9990216000000001
0.005266	0.9206108011202337	0.003999410063627917	0.9961042999999999
0.005487	0.9173594245213108	0.003948872478118635	0.9963337
0.005487	0.9173594245213108	0.004501009204525021	0.9939495999999999
0.0057079999999999995	0.9141143856015213	0.007261256445283594	0.9908163000000001
0.005707	0.9141290547851447	0.004342413609701214	0.9934245
0.005707	0.9141290547851447	0.003845749699047048	1.0002669
0.005713	0.9140410416250109	0.006678206361315491	0.9955613999999999
0.005707	0.9141290547851447	0.004108671331177416	0.9960413
