G_Ep/G_D	Q2	error
1.024446485511166	0.1557517462493426	0.038827017294032116
0.9644368861950323	0.179114508186744	0.034381654187856124
0.9725443163843503	0.19468968281167826	0.04920778932254738
1.0192023199647602	0.23362761937401388	0.0427617659616338
0.9978013734620443	0.27256555593634957	0.047859763642756376
1.0038740063733556	0.29203452421751736	0.051004227120350784
0.9376941707790439	0.3115034924986852	0.04804465523527274
0.9413890147310249	0.3504414290610208	0.06501430338305023
1.0165864621558567	0.3893793656233565	0.04857917797997511
1.0230410228550177	0.42831730218569214	0.06954878948271509
0.9980014930945494	0.46725523874802777	0.06080127304289962
1.024032767398046	0.5061931753103635	0.12034969288273635
0.9844009998355514	0.5451311118726991	0.09116868480612261
1.0098846844747809	0.5840690484350347	0.1780125359485084
0.9552508739853844	0.6230069849973704	0.0881683126143147
0.8737204742385867	0.6619449215597061	0.15476406852018704
1.0819713953181476	0.7008828581220417	0.10645305950947646
1.059121217063295	0.7398207946843773	0.16493597543988653
0.822192578247255	0.778758731246713	0.3216739740377125
0.8082148408647191	0.8566346043713843	0.36576143878052064
