G_Mp/mu/G_D	Q2	error
1.0090441462901731	0.0182	0.07747681257629288
1.0364845263286564	0.0202	0.07048003885916505
0.9485944461384219	0.0213	0.07961933201610334
0.9146630810974179	0.0236	0.06544229333161065
0.9556024265786786	0.0255	0.0437263997364912
1.005883854535915	0.0272	0.034509945734711334
0.9640944105689131	0.0304	0.037886262580111164
0.9970766795692054	0.0322	0.030049636616926962
0.9767558364166232	0.034	0.018872229661473217
1.0454862657170405	0.0357	0.01816863174272152
0.9942502890875987	0.0376	0.018936210337184452
0.9852019625629641	0.0394	0.015397520347773266
1.019912507000052	0.0413	0.010383951386179232
1.0027380680235858	0.0433	0.008101549629099637
1.0097491717738245	0.0473	0.006680606106620431
1.0035600730987893	0.0494	0.007127324600783237
0.9957318584196305	0.0515	0.005560446779178909
0.9948238579206821	0.0537	0.004598377955742305
0.9993332790229104	0.0557	0.005122223332909029
1.0028740809131507	0.058	0.005069252393286458
1.0023919611545733	0.0602	0.003707881150971099
0.9992320602576397	0.0625	0.003221414973257852
0.9979422689217675	0.0648	0.0021746306492484257
0.9985995775703396	0.0672	0.0035181596288192413
0.9994259903307996	0.0695	0.003323219814979124
0.9998494755576732	0.0711	0.002383483059798545
1.0058796018268468	0.0742	0.0025334817138247833
1.0064954849695498	0.0773	0.001761069918148025
1.0035976206790362	0.0805	0.0013759464968842654
0.9990316276780425	0.0837	0.0017450724897856255
0.9957778691791598	0.0867	0.018755086411849975
0.998628662222748	0.0908	0.01170623819518547
1.0065336815629726	0.0949	0.01467947901150223
1.0180673712770962	0.1033	0.012215492940700769
1.0030315358739323	0.1076	0.010113406728575036
1.0111688043945144	0.112	0.0041754087038930535
1.0015525162317995	0.1163	0.004849663549447025
1.0036999165979639	0.1255	0.005454082439647088
0.9954458816376643	0.13	0.003558385741429573
0.9896194522173825	0.1348	0.003142936483837604
0.9890771331603266	0.1395	0.0033317793146466225
0.9894547875847818	0.1441	0.0030570712435851553
0.9927167191170245	0.149	0.0017819739427685358
0.9816357890810818	0.1538	0.004292867882278784
0.9875106245655652	0.1588	0.003752958560160137
0.984854943375318	0.1637	0.00287366835492688
0.9960497450294269	0.1687	0.003509920916302352
0.9914474542010522	0.1739	0.0015538189140059029
0.9901243350542716	0.1789	0.00241329477425086
0.9904485103751464	0.184	0.002043683520003741
0.9893019752982676	0.1893	0.0017807665331695678
0.9890068559532365	0.1943	0.0020329617641606434
0.9928596376377811	0.1997	0.001351949065518262
0.9960572526369253	0.2051	0.0017844092666372722
0.9939942025881761	0.2103	0.0016844300473563474
0.991479762099918	0.2156	0.0015821809252192882
0.9859670680389921	0.221	0.00418643525611311
0.9833962714382714	0.2318	0.004221125644587365
0.9946864777450346	0.2427	0.0036102432272812194
0.9888463993062523	0.2481	0.003846890251817809
0.988339011913464	0.2592	0.0036029370582142074
0.9905944639998596	0.2758	0.0027610465166186594
0.9928750740245971	0.2814	0.004398195026265619
1.0003173904313825	0.3069	0.0017628032432890207
1.003612429876358	0.3354	0.001552498151251231
1.0081866831770228	0.3638	0.0012284971769013276
1.002710787113114	0.3916	0.0024996658494180614
1.0073686176032488	0.4201	0.002449252829832302
1.0172785506221638	0.4471	0.0032333804544408306
1.0184085787976564	0.4748	0.0028915066364922685
1.0198456346103106	0.5011	0.0017711079567244135
1.0253588913002825	0.5274	0.001957621981693369
1.0309867839458073	0.5524	0.0018111318119381772
