F_2p/G_D	Q2	error
0.737	1.75	0.031212925031146952
0.677	2.5	0.0291440328197729
0.59	3.25	0.04134242494097316
0.512	4.0	0.03976787225889764
0.434	5.0	0.045667349780778826
0.37200000000000005	6.0	0.0496130940780758
0.23	7.0	0.05054240694703806
0.26899999999999996	8.83	0.11752493880449376
