Q2	Q^2*F_2p/F_1p	error
1.75	0.799	0.046
2.5	0.978	0.059
3.25	1.031	0.0975
4.0	1.044	0.106
5.0	1.06	0.14300000000000002
6.0	1.069	0.17149999999999999
7.0	0.7090000000000001	0.17149999999999999
8.83	1.143	0.612
