G_Mn/mu/G_D	Q2	error
1.39	0.039	0.3
1.05	0.057999999999999996	0.055999999999999994
1.1	0.09699999999999999	0.032
1.12	0.113	0.08
1.04	0.16	0.07
1.03	0.17800000000000002	0.035
0.94	0.292	0.026000000000000002
0.97	0.389	0.09
1.01	0.389	0.027999999999999997
1.01	0.565	0.08
1.12	0.6	0.036000000000000004
1.0	0.78	0.054000000000000006
1.047	1.0	0.08199999999999999
0.975	1.0	0.055
1.04	1.17	0.094
1.055	1.53	0.055
1.21	1.8	0.11
0.84	2.7	0.26
