G_Mp/mu/G_D	Q2	error
1.0228099351322126	2.862	0.019543256848742387
1.0244949507083057	3.6210000000000004	0.022880172726982766
1.0076270991189016	5.027	0.01826922960754627
1.0120151225863068	4.9910000000000005	0.01971170729749453
1.0003694759998547	5.0169999999999995	0.019686271191852362
0.9481850886904527	7.3	0.019255699189208438
0.8919543068023773	9.629	0.019674054026804052
0.8724457779542247	11.99	0.019145567244439513
0.8191155033243457	15.72	0.024707284846775937
0.7309502910530739	19.47	0.028591041497981275
0.7289507538417529	23.24	0.03208973148327886
0.7083318493130553	26.99	0.043629508064022056
0.7200409524460241	31.2	0.06594599264344826
