G_Mp/mu/G_D	Q2	error
0.9263137307307059	0.1557517462493426	0.03600458865015114
0.9581641259596174	0.179114508186744	0.02943710357435507
1.0033929674883615	0.19468968281167826	0.04293161934124305
0.9414815191355581	0.23362761937401388	0.03479566720800113
0.9384312341581607	0.27256555593634957	0.031017858542131422
0.9401359742226665	0.29203452421751736	0.03282578658556649
0.96460371651884	0.3115034924986852	0.031241900795397647
0.9748507095674358	0.3504414290610208	0.03527842744507614
0.9590438322225064	0.3893793656233565	0.030057266044898848
0.9742023810604316	0.42831730218569214	0.03430390342220373
0.9760069698307577	0.46725523874802777	0.031848525845014936
0.9594805585649314	0.5061931753103635	0.05059110875030823
0.987526082374712	0.5451311118726991	0.03583676135113997
0.9866307608191116	0.5840690484350347	0.056045144398860346
0.9940248947006581	0.6230069849973704	0.033395294543158933
1.0342759460003783	0.6619449215597061	0.040192027744290384
0.9872001782099887	0.7008828581220417	0.03238257356108419
1.0215932999232569	0.7398207946843773	0.04264124079303071
1.0420301660139006	0.778758731246713	0.05164456952880124
1.0906031587572111	0.8566346043713843	0.044334896401123314
1.0475251415655944	1.012386350620727	0.04009493016585967
1.0286670340788662	1.0902622237453983	0.04693980245018104
1.0146268460278425	1.1681380968700694	0.049584506946003026
