G_Mn/mu/G_D	Q2	error
0.9953	0.9848	0.022472205054244233
1.0073	1.1364	0.02621850491542186
1.0319	1.2879	0.02314821807396846
1.0228	1.4394	0.021092415698539608
1.0127	1.5909	0.0200810856280232
1.0136	1.7424	0.020113676938839403
1.0167	1.8939	0.020048940121612412
1.0	2.0455	0.02198294793698061
0.9919	2.197	0.02216776939613005
1.0016	2.3485	0.022617692189964917
1.0212	2.5	0.025040167731067618
1.0344	2.6515	0.02450795789126463
1.0012	2.803	0.023847222060441337
0.9954	2.9546	0.024337008854828486
1.0019	3.1061	0.02535034516530298
0.9779	3.2576	0.025242028444639707
0.9967	3.4091	0.026378779350076077
0.9918	3.5606	0.025740240869113872
0.9742	3.7121	0.027130978603802702
0.9791	3.8636	0.029206163733020468
1.0285	4.0152	0.030968370961353457
0.9193	4.1667	0.03148412298286233
0.9079	4.3182	0.033961154279558876
0.9903	4.4697	0.04217771923658272
1.1074	4.6212	0.09988598500290219
1.0921	4.7727	0.1309505250084932
