Q2	Q^2*F_2p/F_1p	error
1.0	0.568	0.0697065276713738
2.003	0.6659999999999999	0.07071774883294858
2.497	0.7879999999999999	0.09879271228182775
3.0069999999999997	0.735	0.12299593489217439
