Q2	error	mu*G_Ep/G_Mp
0.0389	0.018192798657131748	0.9803060746521975
0.0778	0.02119280203214491	0.9803060746521975
0.11599999999999999	0.03117044548260417	0.99498743710662
0.13	0.019862419061731362	0.9969954864491615
0.19	0.014903848951551946	0.9989994994993742
0.27	0.022921415098242304	0.9919677414109797
0.33	0.016196070725827405	0.9797958971132712
0.39	0.020369194371642196	1.0207840124139875
0.45	0.03331782484900847	1.0188228501560024
0.53	0.04823733521399198	1.0124228365658292
0.58	0.019412979822074017	0.9690201236300514
0.65	0.050031296133965175	0.9643650760992956
0.72	0.07993206729435642	1.0922453936730518
0.78	0.03612270804643092	0.9370165420097982
0.94	0.050980235545404984	1.0435516278555652
1.1	0.03554878923443694	0.8683317338436964
1.35	0.04696330138331184	0.9027735042633894
1.75	0.07567742577534498	0.8012490249604052
