NNPDFpol 1.1, Q = 1.087 GeV
x	 x(u-d)	 error	 xu+	 error	 xd+	 error	 xs+	 error	 xu	 error	 xd	 error	 xs	 error	 xub	 error	 xdb	 error	 xsb	 error
1.148154E-04	 1.398250E-02	 7.671293E-03	 6.532650E-03	 7.328992E-03	 -7.449845E-03	 7.038288E-03	 -1.610610E-03	 7.283368E-03	 4.347336E-03	 8.698832E-03	 -2.975922E-03	 8.395720E-03	 -8.053049E-04	 3.641684E-03	 2.185314E-03	 4.194346E-03	 -4.473923E-03	 4.658669E-03	 -8.053049E-04	 3.641684E-03
1.158777E-04	 1.402047E-02	 7.686709E-03	 6.547392E-03	 7.343083E-03	 -7.473074E-03	 7.053226E-03	 -1.619601E-03	 7.300424E-03	 4.360490E-03	 8.714638E-03	 -2.991278E-03	 8.413727E-03	 -8.098005E-04	 3.650212E-03	 2.186901E-03	 4.202006E-03	 -4.481796E-03	 4.667518E-03	 -8.098005E-04	 3.650212E-03
1.169499E-04	 1.405847E-02	 7.702057E-03	 6.562136E-03	 7.357011E-03	 -7.496331E-03	 7.068028E-03	 -1.628627E-03	 7.317332E-03	 4.373660E-03	 8.730260E-03	 -3.006683E-03	 8.431614E-03	 -8.143135E-04	 3.658666E-03	 2.188476E-03	 4.209620E-03	 -4.489649E-03	 4.676324E-03	 -8.143135E-04	 3.658666E-03
1.180321E-04	 1.409650E-02	 7.717329E-03	 6.576883E-03	 7.370764E-03	 -7.519617E-03	 7.082680E-03	 -1.637688E-03	 7.334080E-03	 4.386844E-03	 8.745689E-03	 -3.022136E-03	 8.449368E-03	 -8.188439E-04	 3.667040E-03	 2.190040E-03	 4.217182E-03	 -4.497481E-03	 4.685082E-03	 -8.188439E-04	 3.667040E-03
1.191242E-04	 1.413456E-02	 7.732513E-03	 6.591633E-03	 7.384332E-03	 -7.542928E-03	 7.097172E-03	 -1.646784E-03	 7.350659E-03	 4.400040E-03	 8.760915E-03	 -3.037637E-03	 8.466974E-03	 -8.233918E-04	 3.675329E-03	 2.191593E-03	 4.224684E-03	 -4.505292E-03	 4.693785E-03	 -8.233918E-04	 3.675329E-03
1.202264E-04	 1.417265E-02	 7.747601E-03	 6.606384E-03	 7.397705E-03	 -7.566265E-03	 7.111493E-03	 -1.655914E-03	 7.367057E-03	 4.413247E-03	 8.775927E-03	 -3.053184E-03	 8.484421E-03	 -8.279572E-04	 3.683528E-03	 2.193137E-03	 4.232120E-03	 -4.513081E-03	 4.702429E-03	 -8.279572E-04	 3.683528E-03
1.213389E-04	 1.421076E-02	 7.762582E-03	 6.621136E-03	 7.410871E-03	 -7.589627E-03	 7.125631E-03	 -1.665080E-03	 7.383263E-03	 4.426465E-03	 8.790714E-03	 -3.068777E-03	 8.501695E-03	 -8.325402E-04	 3.691632E-03	 2.194671E-03	 4.239482E-03	 -4.520850E-03	 4.711007E-03	 -8.325402E-04	 3.691632E-03
1.224616E-04	 1.424890E-02	 7.777446E-03	 6.635889E-03	 7.423820E-03	 -7.613012E-03	 7.139575E-03	 -1.674282E-03	 7.399268E-03	 4.439692E-03	 8.805268E-03	 -3.084415E-03	 8.518783E-03	 -8.371408E-04	 3.699634E-03	 2.196197E-03	 4.246762E-03	 -4.528597E-03	 4.719514E-03	 -8.371408E-04	 3.699634E-03
1.235947E-04	 1.428706E-02	 7.792183E-03	 6.650642E-03	 7.436542E-03	 -7.636420E-03	 7.153315E-03	 -1.683518E-03	 7.415060E-03	 4.452927E-03	 8.819577E-03	 -3.100098E-03	 8.535672E-03	 -8.417591E-04	 3.707530E-03	 2.197716E-03	 4.253954E-03	 -4.536323E-03	 4.727943E-03	 -8.417591E-04	 3.707530E-03
1.247384E-04	 1.432524E-02	 7.806783E-03	 6.665394E-03	 7.449025E-03	 -7.659850E-03	 7.166839E-03	 -1.692790E-03	 7.430628E-03	 4.466168E-03	 8.833632E-03	 -3.115824E-03	 8.552349E-03	 -8.463951E-04	 3.715314E-03	 2.199227E-03	 4.261050E-03	 -4.544026E-03	 4.736290E-03	 -8.463951E-04	 3.715314E-03
