Q0 = 1.087 GeV	 Q = 1.581 GeV
x	 x*(uv-dv)
3.981E-04	1.033E-03	1.103E-03
4.018E-04	1.042E-03	1.112E-03
4.055E-04	1.050E-03	1.121E-03
4.093E-04	1.059E-03	1.130E-03
4.130E-04	1.068E-03	1.139E-03
4.169E-04	1.076E-03	1.148E-03
4.207E-04	1.085E-03	1.157E-03
4.246E-04	1.094E-03	1.166E-03
4.285E-04	1.103E-03	1.176E-03
4.325E-04	1.112E-03	1.185E-03
4.365E-04	1.122E-03	1.195E-03
4.406E-04	1.131E-03	1.204E-03
4.446E-04	1.140E-03	1.214E-03
4.487E-04	1.150E-03	1.224E-03
4.529E-04	1.159E-03	1.234E-03
4.571E-04	1.169E-03	1.244E-03
4.613E-04	1.178E-03	1.254E-03
4.656E-04	1.188E-03	1.264E-03
4.699E-04	1.198E-03	1.274E-03
4.742E-04	1.208E-03	1.284E-03
4.786E-04	1.218E-03	1.294E-03
4.831E-04	1.228E-03	1.305E-03
4.875E-04	1.238E-03	1.315E-03
4.920E-04	1.248E-03	1.326E-03
4.966E-04	1.259E-03	1.337E-03
5.012E-04	1.269E-03	1.347E-03
5.058E-04	1.280E-03	1.358E-03
5.105E-04	1.290E-03	1.369E-03
5.152E-04	1.301E-03	1.380E-03
5.200E-04	1.312E-03	1.391E-03
5.248E-04	1.323E-03	1.403E-03
5.297E-04	1.334E-03	1.414E-03
5.346E-04	1.345E-03	1.425E-03
5.395E-04	1.356E-03	1.437E-03
5.445E-04	1.367E-03	1.448E-03
5.495E-04	1.378E-03	1.460E-03
5.546E-04	1.390E-03	1.472E-03
5.598E-04	1.401E-03	1.484E-03
5.649E-04	1.413E-03	1.496E-03
5.702E-04	1.425E-03	1.508E-03
5.754E-04	1.436E-03	1.520E-03
5.808E-04	1.448E-03	1.532E-03
5.861E-04	1.460E-03	1.545E-03
5.916E-04	1.472E-03	1.557E-03
5.970E-04	1.485E-03	1.570E-03
6.026E-04	1.497E-03	1.582E-03
6.081E-04	1.509E-03	1.595E-03
6.138E-04	1.522E-03	1.608E-03
6.194E-04	1.535E-03	1.621E-03
6.252E-04	1.547E-03	1.634E-03
6.310E-04	1.560E-03	1.647E-03
6.368E-04	1.573E-03	1.661E-03
6.427E-04	1.586E-03	1.674E-03
6.486E-04	1.599E-03	1.688E-03
6.546E-04	1.613E-03	1.701E-03
6.607E-04	1.626E-03	1.715E-03
6.668E-04	1.640E-03	1.729E-03
6.730E-04	1.653E-03	1.743E-03
6.792E-04	1.667E-03	1.757E-03
6.855E-04	1.681E-03	1.771E-03
6.918E-04	1.695E-03	1.786E-03
6.982E-04	1.709E-03	1.800E-03
7.047E-04	1.723E-03	1.815E-03
7.112E-04	1.737E-03	1.829E-03
7.178E-04	1.752E-03	1.844E-03
7.244E-04	1.766E-03	1.859E-03
7.311E-04	1.781E-03	1.874E-03
7.379E-04	1.796E-03	1.890E-03
7.447E-04	1.811E-03	1.905E-03
7.516E-04	1.826E-03	1.920E-03
7.586E-04	1.841E-03	1.936E-03
7.656E-04	1.856E-03	1.952E-03
7.727E-04	1.872E-03	1.968E-03
7.798E-04	1.888E-03	1.983E-03
7.870E-04	1.903E-03	2.000E-03
7.943E-04	1.919E-03	2.016E-03
8.017E-04	1.935E-03	2.032E-03
8.091E-04	1.951E-03	2.049E-03
8.166E-04	1.967E-03	2.065E-03
8.241E-04	1.984E-03	2.082E-03
