NNPDFpol 1.1, Q = 1.000 GeV
x	 x(u+-d+)	 error	 xu+	 error	 xd+	 error	 xs+	 error	 xu	 error	 xd	 error	 xs	 error	 xub	 error	 xdb	 error	 xsb	 error
1.202264E-04	 1.390132E-02	 7.766698E-03	 6.875886E-03	 6.261230E-03	 -7.025431E-03	 6.426047E-03	 -1.192999E-03	 5.622664E-03	 4.664510E-03	 7.728795E-03	 -2.586009E-03	 7.895755E-03	 -5.964997E-04	 2.811332E-03	 2.211376E-03	 4.245477E-03	 -4.439422E-03	 4.665218E-03	 -5.964997E-04	 2.811332E-03
1.213389E-04	 1.393889E-02	 7.782666E-03	 6.892087E-03	 6.272177E-03	 -7.046805E-03	 6.438525E-03	 -1.200146E-03	 5.634984E-03	 4.679225E-03	 7.741514E-03	 -2.599663E-03	 7.912926E-03	 -6.000731E-04	 2.817492E-03	 2.212863E-03	 4.253437E-03	 -4.447142E-03	 4.674273E-03	 -6.000731E-04	 2.817492E-03
1.224616E-04	 1.397649E-02	 7.798525E-03	 6.908268E-03	 6.283012E-03	 -7.068222E-03	 6.450885E-03	 -1.207347E-03	 5.647235E-03	 4.693929E-03	 7.754096E-03	 -2.613382E-03	 7.929980E-03	 -6.036737E-04	 2.823618E-03	 2.214339E-03	 4.261329E-03	 -4.454840E-03	 4.683261E-03	 -6.036737E-04	 2.823618E-03
1.235947E-04	 1.401411E-02	 7.814262E-03	 6.924424E-03	 6.293725E-03	 -7.089683E-03	 6.463117E-03	 -1.214605E-03	 5.659410E-03	 4.708617E-03	 7.766531E-03	 -2.627167E-03	 7.946904E-03	 -6.073023E-04	 2.829705E-03	 2.215807E-03	 4.269145E-03	 -4.462516E-03	 4.692176E-03	 -6.073023E-04	 2.829705E-03
1.247384E-04	 1.405174E-02	 7.829863E-03	 6.940555E-03	 6.304307E-03	 -7.111187E-03	 6.475210E-03	 -1.221919E-03	 5.671502E-03	 4.723287E-03	 7.778809E-03	 -2.641016E-03	 7.963685E-03	 -6.109597E-04	 2.835751E-03	 2.217268E-03	 4.276877E-03	 -4.470171E-03	 4.701011E-03	 -6.109597E-04	 2.835751E-03
1.258925E-04	 1.408939E-02	 7.845315E-03	 6.956657E-03	 6.314749E-03	 -7.132734E-03	 6.487154E-03	 -1.229294E-03	 5.683506E-03	 4.737934E-03	 7.790921E-03	 -2.654930E-03	 7.980310E-03	 -6.146468E-04	 2.841753E-03	 2.218722E-03	 4.284516E-03	 -4.477804E-03	 4.709762E-03	 -6.146468E-04	 2.841753E-03
1.270574E-04	 1.412705E-02	 7.860605E-03	 6.972728E-03	 6.325042E-03	 -7.154325E-03	 6.498939E-03	 -1.236728E-03	 5.695415E-03	 4.752555E-03	 7.802859E-03	 -2.668908E-03	 7.996765E-03	 -6.183641E-04	 2.847707E-03	 2.220173E-03	 4.292055E-03	 -4.485418E-03	 4.718420E-03	 -6.183641E-04	 2.847707E-03
1.282331E-04	 1.416473E-02	 7.875719E-03	 6.988767E-03	 6.335177E-03	 -7.175960E-03	 6.510553E-03	 -1.244225E-03	 5.707223E-03	 4.767146E-03	 7.814613E-03	 -2.682949E-03	 8.013036E-03	 -6.221127E-04	 2.853611E-03	 2.221621E-03	 4.299485E-03	 -4.493011E-03	 4.726980E-03	 -6.221127E-04	 2.853611E-03
1.294196E-04	 1.420241E-02	 7.890642E-03	 7.004771E-03	 6.345144E-03	 -7.197639E-03	 6.521987E-03	 -1.251786E-03	 5.718924E-03	 4.781703E-03	 7.826174E-03	 -2.697054E-03	 8.029110E-03	 -6.258932E-04	 2.859462E-03	 2.223068E-03	 4.306797E-03	 -4.500585E-03	 4.735436E-03	 -6.258932E-04	 2.859462E-03
1.306171E-04	 1.424010E-02	 7.905363E-03	 7.020737E-03	 6.354935E-03	 -7.219361E-03	 6.533230E-03	 -1.259413E-03	 5.730512E-03	 4.796222E-03	 7.837533E-03	 -2.711222E-03	 8.044975E-03	 -6.297064E-04	 2.865256E-03	 2.224514E-03	 4.313984E-03	 -4.508139E-03	 4.743781E-03	 -6.297064E-04	 2.865256E-03
1.318257E-04	 1.427779E-02	 7.919867E-03	 7.036663E-03	 6.364540E-03	 -7.241128E-03	 6.544271E-03	 -1.267106E-03	 5.741980E-03	 4.810700E-03	 7.848680E-03	 -2.725453E-03	 8.060615E-03	 -6.335531E-04	 2.870990E-03	 2.225963E-03	 4.321036E-03	 -4.515675E-03	 4.752008E-03	 -6.335531E-04	 2.870990E-03
1.330454E-04	 1.431550E-02	 7.934242E-03	 7.052564E-03	 6.374019E-03	 -7.262938E-03	 6.555181E-03	 -1.274857E-03	 5.753373E-03	 4.825161E-03	 7.859676E-03	 -2.739750E-03	 8.076123E-03	 -6.374285E-04	 2.876687E-03	 2.227403E-03	 4.327999E-03	 -4.523188E-03	 4.760156E-03	 -6.374285E-04	 2.876687E-03
