DSSV 2008, Q = 1.000 GeV
x	 x(u-d)	 error	 xu+	 error	 xd+	 error	 xs+	 error	 xu	 error	 xd	 error	 xs	 error	 xub	 error	 xdb	 error	 xsb	 er    ror
1.148154E-04	 5.562103E-03	 1.734341E-03	 1.240919E-03	 1.085829E-03	 -4.321184E-03	 1.369502E-03	 -1.137247E-02	 3.732109E-03	 6.893353E-04	 6.734238E-04	 -1.604909E-03	 5.935276E-03	 -5.686233E-03	 1.866054E-03	 5.515835E-04	 5.278155E-04	 -2.716275E-03	 5.965792E-03	 -5.686233E-03	 1.866054E-03
1.158777E-04	 5.580469E-03	 1.739074E-03	 1.248751E-03	 1.091661E-03	 -4.331717E-03	 1.370498E-03	 -1.138955E-02	 3.752782E-03	 6.936466E-04	 6.771040E-04	 -1.610988E-03	 5.945963E-03	 -5.694774E-03	 1.876391E-03	 5.551049E-04	 5.308104E-04	 -2.720729E-03	 5.976247E-03	 -5.694774E-03	 1.876391E-03
1.169499E-04	 5.598970E-03	 1.744055E-03	 1.256628E-03	 1.097520E-03	 -4.342342E-03	 1.371473E-03	 -1.140654E-02	 3.773625E-03	 6.979815E-04	 6.807999E-04	 -1.617175E-03	 5.956061E-03	 -5.703272E-03	 1.886813E-03	 5.586469E-04	 5.338219E-04	 -2.725167E-03	 5.986673E-03	 -5.703272E-03	 1.886813E-03
1.180321E-04	 5.617610E-03	 1.749292E-03	 1.264550E-03	 1.103406E-03	 -4.353060E-03	 1.372428E-03	 -1.142346E-02	 3.794640E-03	 7.023399E-04	 6.845114E-04	 -1.623472E-03	 5.965559E-03	 -5.711728E-03	 1.897320E-03	 5.622098E-04	 5.368500E-04	 -2.729588E-03	 5.997069E-03	 -5.711728E-03	 1.897320E-03
1.191242E-04	 5.636389E-03	 1.754792E-03	 1.272516E-03	 1.109320E-03	 -4.363873E-03	 1.373362E-03	 -1.144028E-02	 3.815829E-03	 7.067221E-04	 6.882386E-04	 -1.629881E-03	 5.974443E-03	 -5.720140E-03	 1.907914E-03	 5.657936E-04	 5.398948E-04	 -2.733991E-03	 6.007433E-03	 -5.720140E-03	 1.907914E-03
1.202264E-04	 5.655309E-03	 1.760564E-03	 1.280527E-03	 1.115262E-03	 -4.374782E-03	 1.374278E-03	 -1.145702E-02	 3.837191E-03	 7.111281E-04	 6.919815E-04	 -1.636405E-03	 5.982700E-03	 -5.728508E-03	 1.918595E-03	 5.693984E-04	 5.429565E-04	 -2.738377E-03	 6.017767E-03	 -5.728508E-03	 1.918595E-03
1.213389E-04	 5.674373E-03	 1.766617E-03	 1.288583E-03	 1.121231E-03	 -4.385790E-03	 1.375178E-03	 -1.147366E-02	 3.858729E-03	 7.155581E-04	 6.957400E-04	 -1.643045E-03	 5.990316E-03	 -5.736831E-03	 1.929364E-03	 5.730244E-04	 5.460351E-04	 -2.742745E-03	 6.028068E-03	 -5.736831E-03	 1.929364E-03
1.224616E-04	 5.693582E-03	 1.772961E-03	 1.296684E-03	 1.127228E-03	 -4.396898E-03	 1.376064E-03	 -1.149022E-02	 3.880443E-03	 7.200120E-04	 6.995142E-04	 -1.649803E-03	 5.997279E-03	 -5.745109E-03	 1.940222E-03	 5.766717E-04	 5.491307E-04	 -2.747095E-03	 6.038337E-03	 -5.745109E-03	 1.940222E-03
1.235947E-04	 5.712938E-03	 1.779607E-03	 1.304830E-03	 1.133252E-03	 -4.408108E-03	 1.376941E-03	 -1.150668E-02	 3.902336E-03	 7.244901E-04	 7.033040E-04	 -1.656681E-03	 6.003574E-03	 -5.753340E-03	 1.951168E-03	 5.803404E-04	 5.522434E-04	 -2.751427E-03	 6.048573E-03	 -5.753340E-03	 1.951168E-03
1.247384E-04	 5.732444E-03	 1.786565E-03	 1.313023E-03	 1.139305E-03	 -4.419421E-03	 1.377814E-03	 -1.152305E-02	 3.924407E-03	 7.289924E-04	 7.071094E-04	 -1.663682E-03	 6.009188E-03	 -5.761525E-03	 1.962204E-03	 5.840306E-04	 5.553733E-04	 -2.755740E-03	 6.058776E-03	 -5.761525E-03	 1.962204E-03
1.258925E-04	 5.752102E-03	 1.793849E-03	 1.321261E-03	 1.145386E-03	 -4.430841E-03	 1.378690E-03	 -1.153933E-02	 3.946660E-03	 7.335190E-04	 7.109305E-04	 -1.670807E-03	 6.014106E-03	 -5.769664E-03	 1.973330E-03	 5.877424E-04	 5.585205E-04	 -2.760034E-03	 6.068944E-03	 -5.769664E-03	 1.973330E-03
1.270574E-04	 5.771913E-03	 1.801470E-03	 1.329546E-03	 1.151494E-03	 -4.442367E-03	 1.379575E-03	 -1.155551E-02	 3.969094E-03	 7.380701E-04	 7.147672E-04	 -1.678059E-03	 6.018315E-03	 -5.777754E-03	 1.984547E-03	 5.914759E-04	 5.616851E-04	 -2.764309E-03	 6.079079E-03	 -5.777754E-03	 1.984547E-03
1.282331E-04	 5.791881E-03	 1.809443E-03	 1.337877E-03	 1.157631E-03	 -4.454004E-03	 1.380477E-03	 -1.157159E-02	 3.991711E-03	 7.426456E-04	 7.186195E-04	 -1.685439E-03	 6.021800E-03	 -5.785796E-03	 1.995855E-03	 5.952314E-04	 5.648672E-04	 -2.768564E-03	 6.089178E-03	 -5.785796E-03	 1.995855E-03
1.294196E-04	 5.812006E-03	 1.817782E-03	 1.346255E-03	 1.163795E-03	 -4.465751E-03	 1.381408E-03	 -1.158758E-02	 4.014512E-03	 7.472458E-04	 7.224873E-04	 -1.692951E-03	 6.024546E-03	 -5.793788E-03	 2.007256E-03	 5.990088E-04	 5.680668E-04	 -2.772800E-03	 6.099242E-03	 -5.793788E-03	 2.007256E-03
1.306171E-04	 5.832291E-03	 1.826503E-03	 1.354679E-03	 1.169989E-03	 -4.477612E-03	 1.382378E-03	 -1.160346E-02	 4.037499E-03	 7.518707E-04	 7.263708E-04	 -1.700596E-03	 6.026538E-03	 -5.801732E-03	 2.018750E-03	 6.028084E-04	 5.712840E-04	 -2.777016E-03	 6.109270E-03	 -5.801732E-03	 2.018750E-03
1.318257E-04	 5.852739E-03	 1.835621E-03	 1.363151E-03	 1.176210E-03	 -4.489588E-03	 1.383399E-03	 -1.161925E-02	 4.060673E-03	 7.565204E-04	 7.302698E-04	 -1.708377E-03	 6.027762E-03	 -5.809625E-03	 2.030336E-03	 6.066302E-04	 5.745191E-04	 -2.781212E-03	 6.119261E-03	 -5.809625E-03	 2.030336E-03
1.330454E-04	 5.873351E-03	 1.845153E-03	 1.371669E-03	 1.182460E-03	 -4.501682E-03	 1.384485E-03	 -1.163493E-02	 4.084035E-03	 7.611950E-04	 7.341843E-04	 -1.716295E-03	 6.028201E-03	 -5.817467E-03	 2.042018E-03	 6.104744E-04	 5.777719E-04	 -2.785387E-03	 6.129215E-03	 -5.817467E-03	 2.042018E-03
1.342765E-04	 5.894131E-03	 1.855118E-03	 1.380236E-03	 1.188738E-03	 -4.513895E-03	 1.385652E-03	 -1.165051E-02	 4.107587E-03	 7.658947E-04	 7.381143E-04	 -1.724354E-03	 6.027841E-03	 -5.825257E-03	 2.053793E-03	 6.143410E-04	 5.810427E-04	 -2.789541E-03	 6.139132E-03	 -5.825257E-03	 2.053793E-03
1.355189E-04	 5.915079E-03	 1.865534E-03	 1.388850E-03	 1.195044E-03	 -4.526230E-03	 1.386918E-03	 -1.166599E-02	 4.131329E-03	 7.706195E-04	 7.420599E-04	 -1.732555E-03	 6.026665E-03	 -5.832995E-03	 2.065665E-03	 6.182303E-04	 5.843316E-04	 -2.793674E-03	 6.149010E-03	 -5.832995E-03	 2.065665E-03
1.367729E-04	 5.936200E-03	 1.876421E-03	 1.397512E-03	 1.201379E-03	 -4.538688E-03	 1.388301E-03	 -1.168136E-02	 4.155264E-03	 7.753695E-04	 7.460209E-04	 -1.740902E-03	 6.024658E-03	 -5.840681E-03	 2.077632E-03	 6.221423E-04	 5.876386E-04	 -2.797786E-03	 6.158850E-03	 -5.840681E-03	 2.077632E-03
1.380384E-04	 5.957494E-03	 1.887800E-03	 1.406222E-03	 1.207743E-03	 -4.551272E-03	 1.389822E-03	 -1.169663E-02	 4.179392E-03	 7.801448E-04	 7.499973E-04	 -1.749396E-03	 6.021804E-03	 -5.848313E-03	 2.089696E-03	 6.260771E-04	 5.909638E-04	 -2.801876E-03	 6.168650E-03	 -5.848313E-03	 2.089696E-03
1.393157E-04	 5.978965E-03	 1.899691E-03	 1.414981E-03	 1.214136E-03	 -4.563984E-03	 1.391503E-03	 -1.171178E-02	 4.203715E-03	 7.849456E-04	 7.539892E-04	 -1.758039E-03	 6.018085E-03	 -5.855891E-03	 2.101858E-03	 6.300350E-04	 5.943073E-04	 -2.805945E-03	 6.178411E-03	 -5.855891E-03	 2.101858E-03
1.406048E-04	 5.999780E-03	 1.906882E-03	 1.423882E-03	 1.220596E-03	 -4.575898E-03	 1.392632E-03	 -1.172878E-02	 4.226978E-03	 7.898328E-04	 7.580606E-04	 -1.765417E-03	 6.025140E-03	 -5.864390E-03	 2.113489E-03	 6.340489E-04	 5.976723E-04	 -2.810481E-03	 6.188910E-03	 -5.864390E-03	 2.113489E-03
1.419058E-04	 6.019789E-03	 1.908438E-03	 1.432940E-03	 1.227131E-03	 -4.586848E-03	 1.393030E-03	 -1.174791E-02	 4.248974E-03	 7.948164E-04	 7.622223E-04	 -1.771289E-03	 6.044895E-03	 -5.873956E-03	 2.124487E-03	 6.381240E-04	 6.010593E-04	 -2.815559E-03	 6.200266E-03	 -5.873956E-03	 2.124487E-03
1.432188E-04	 6.039927E-03	 1.910231E-03	 1.442050E-03	 1.233696E-03	 -4.597876E-03	 1.393500E-03	 -1.176697E-02	 4.271120E-03	 7.998274E-04	 7.664022E-04	 -1.777251E-03	 6.064216E-03	 -5.883486E-03	 2.135560E-03	 6.422231E-04	 6.044650E-04	 -2.820625E-03	 6.211594E-03	 -5.883486E-03	 2.135560E-03
1.445440E-04	 6.060196E-03	 1.912262E-03	 1.451212E-03	 1.240292E-03	 -4.608983E-03	 1.394032E-03	 -1.178596E-02	 4.293418E-03	 8.048660E-04	 7.706003E-04	 -1.783307E-03	 6.083093E-03	 -5.892978E-03	 2.146709E-03	 6.463464E-04	 6.078896E-04	 -2.825677E-03	 6.222896E-03	 -5.892978E-03	 2.146709E-03
1.458814E-04	 6.080597E-03	 1.914534E-03	 1.460426E-03	 1.246918E-03	 -4.620171E-03	 1.394622E-03	 -1.180486E-02	 4.315869E-03	 8.099324E-04	 7.748165E-04	 -1.789456E-03	 6.101513E-03	 -5.902432E-03	 2.157934E-03	 6.504939E-04	 6.113331E-04	 -2.830715E-03	 6.234170E-03	 -5.902432E-03	 2.157934E-03
1.472313E-04	 6.101134E-03	 1.917048E-03	 1.469693E-03	 1.253576E-03	 -4.631441E-03	 1.395263E-03	 -1.182370E-02	 4.338473E-03	 8.150266E-04	 7.790509E-04	 -1.795702E-03	 6.119468E-03	 -5.911848E-03	 2.169236E-03	 6.546659E-04	 6.147957E-04	 -2.835739E-03	 6.245415E-03	 -5.911848E-03	 2.169236E-03
1.485936E-04	 6.121806E-03	 1.919809E-03	 1.479011E-03	 1.260265E-03	 -4.642795E-03	 1.395947E-03	 -1.184245E-02	 4.361231E-03	 8.201488E-04	 7.833035E-04	 -1.802045E-03	 6.136944E-03	 -5.921225E-03	 2.180616E-03	 6.588625E-04	 6.182774E-04	 -2.840750E-03	 6.256633E-03	 -5.921225E-03	 2.180616E-03
1.499685E-04	 6.142616E-03	 1.922819E-03	 1.488383E-03	 1.266984E-03	 -4.654234E-03	 1.396670E-03	 -1.186112E-02	 4.384145E-03	 8.252991E-04	 7.875742E-04	 -1.808487E-03	 6.153932E-03	 -5.930562E-03	 2.192073E-03	 6.630837E-04	 6.217784E-04	 -2.845746E-03	 6.267821E-03	 -5.930562E-03	 2.192073E-03
1.513561E-04	 6.163566E-03	 1.926081E-03	 1.497807E-03	 1.273735E-03	 -4.665759E-03	 1.397426E-03	 -1.187972E-02	 4.407216E-03	 8.304777E-04	 7.918632E-04	 -1.815031E-03	 6.170419E-03	 -5.939859E-03	 2.203608E-03	 6.673298E-04	 6.252987E-04	 -2.850728E-03	 6.278980E-03	 -5.939859E-03	 2.203608E-03
1.527566E-04	 6.184658E-03	 1.929599E-03	 1.507285E-03	 1.280518E-03	 -4.677372E-03	 1.398210E-03	 -1.189823E-02	 4.430444E-03	 8.356845E-04	 7.961703E-04	 -1.821678E-03	 6.186394E-03	 -5.949116E-03	 2.215222E-03	 6.716009E-04	 6.288385E-04	 -2.855695E-03	 6.290108E-03	 -5.949116E-03	 2.215222E-03
1.541700E-04	 6.205892E-03	 1.933377E-03	 1.516817E-03	 1.287331E-03	 -4.689076E-03	 1.399015E-03	 -1.191666E-02	 4.453831E-03	 8.409199E-04	 8.004956E-04	 -1.828429E-03	 6.201844E-03	 -5.958331E-03	 2.226916E-03	 6.758970E-04	 6.323978E-04	 -2.860647E-03	 6.301206E-03	 -5.958331E-03	 2.226916E-03
1.555966E-04	 6.227272E-03	 1.937420E-03	 1.526402E-03	 1.294177E-03	 -4.700870E-03	 1.399839E-03	 -1.193501E-02	 4.477378E-03	 8.461838E-04	 8.048390E-04	 -1.835286E-03	 6.216759E-03	 -5.967504E-03	 2.238689E-03	 6.802185E-04	 6.359768E-04	 -2.865584E-03	 6.312273E-03	 -5.967504E-03	 2.238689E-03
1.570363E-04	 6.248799E-03	 1.941733E-03	 1.536042E-03	 1.301053E-03	 -4.712757E-03	 1.400676E-03	 -1.195327E-02	 4.501086E-03	 8.514764E-04	 8.092007E-04	 -1.842253E-03	 6.231124E-03	 -5.976634E-03	 2.250543E-03	 6.845653E-04	 6.395756E-04	 -2.870505E-03	 6.323309E-03	 -5.976634E-03	 2.250543E-03
1.584893E-04	 6.270475E-03	 1.946319E-03	 1.545736E-03	 1.307961E-03	 -4.724739E-03	 1.401522E-03	 -1.197144E-02	 4.524956E-03	 8.567978E-04	 8.135805E-04	 -1.849329E-03	 6.244929E-03	 -5.985722E-03	 2.262478E-03	 6.889377E-04	 6.431942E-04	 -2.875410E-03	 6.334312E-03	 -5.985722E-03	 2.262478E-03
1.599558E-04	 6.292301E-03	 1.951187E-03	 1.555484E-03	 1.314901E-03	 -4.736817E-03	 1.402376E-03	 -1.198953E-02	 4.548989E-03	 8.621482E-04	 8.179785E-04	 -1.856517E-03	 6.258161E-03	 -5.994766E-03	 2.274494E-03	 6.933357E-04	 6.468329E-04	 -2.880300E-03	 6.345283E-03	 -5.994766E-03	 2.274494E-03
1.614359E-04	 6.314280E-03	 1.956340E-03	 1.565287E-03	 1.321873E-03	 -4.748993E-03	 1.403233E-03	 -1.200753E-02	 4.573186E-03	 8.675277E-04	 8.223946E-04	 -1.863820E-03	 6.270807E-03	 -6.003766E-03	 2.286593E-03	 6.977596E-04	 6.504916E-04	 -2.885173E-03	 6.356220E-03	 -6.003766E-03	 2.286593E-03
1.629296E-04	 6.336414E-03	 1.961787E-03	 1.575146E-03	 1.328876E-03	 -4.761268E-03	 1.404092E-03	 -1.202544E-02	 4.597548E-03	 8.729364E-04	 8.268288E-04	 -1.871238E-03	 6.282853E-03	 -6.012720E-03	 2.298774E-03	 7.022094E-04	 6.541705E-04	 -2.890030E-03	 6.367124E-03	 -6.012720E-03	 2.298774E-03
1.644372E-04	 6.358704E-03	 1.967533E-03	 1.585060E-03	 1.335912E-03	 -4.773645E-03	 1.404951E-03	 -1.204326E-02	 4.622076E-03	 8.783743E-04	 8.312811E-04	 -1.878775E-03	 6.294287E-03	 -6.021630E-03	 2.311038E-03	 7.066853E-04	 6.578697E-04	 -2.894870E-03	 6.377994E-03	 -6.021630E-03	 2.311038E-03
1.659587E-04	 6.381153E-03	 1.973587E-03	 1.595029E-03	 1.342979E-03	 -4.786124E-03	 1.405810E-03	 -1.206099E-02	 4.646772E-03	 8.838417E-04	 8.357516E-04	 -1.886431E-03	 6.305095E-03	 -6.030493E-03	 2.323386E-03	 7.111875E-04	 6.615893E-04	 -2.899693E-03	 6.388829E-03	 -6.030493E-03	 2.323386E-03
