NNPDFpol 1.1, Q = 1.581 GeV
x	 x(uv-dv)	 error	 x(u+-d+)	 error
1.923092E-04	 2.576823E-03	 1.600835E-02	 1.732802E-02	 1.616941E-02
1.940886E-04	 2.600407E-03	 1.600401E-02	 1.736984E-02	 1.618905E-02
1.958845E-04	 2.623955E-03	 1.599898E-02	 1.741167E-02	 1.620862E-02
1.976970E-04	 2.647470E-03	 1.599332E-02	 1.745349E-02	 1.622813E-02
1.995262E-04	 2.670958E-03	 1.598706E-02	 1.749533E-02	 1.624759E-02
2.013724E-04	 2.694426E-03	 1.598025E-02	 1.753717E-02	 1.626700E-02
2.032357E-04	 2.717878E-03	 1.597293E-02	 1.757902E-02	 1.628636E-02
2.051162E-04	 2.741319E-03	 1.596515E-02	 1.762089E-02	 1.630569E-02
2.070141E-04	 2.764757E-03	 1.595694E-02	 1.766278E-02	 1.632498E-02
2.089296E-04	 2.788195E-03	 1.594835E-02	 1.770469E-02	 1.634425E-02
2.108628E-04	 2.811640E-03	 1.593941E-02	 1.774664E-02	 1.636349E-02
2.128139E-04	 2.835097E-03	 1.593016E-02	 1.778861E-02	 1.638271E-02
2.147830E-04	 2.858571E-03	 1.592064E-02	 1.783062E-02	 1.640192E-02
2.167704E-04	 2.882068E-03	 1.591089E-02	 1.787266E-02	 1.642112E-02
2.187762E-04	 2.905594E-03	 1.590092E-02	 1.791475E-02	 1.644031E-02
2.208005E-04	 2.929154E-03	 1.589079E-02	 1.795688E-02	 1.645949E-02
2.228435E-04	 2.952753E-03	 1.588051E-02	 1.799907E-02	 1.647868E-02
2.249055E-04	 2.976397E-03	 1.587013E-02	 1.804130E-02	 1.649787E-02
2.269865E-04	 3.000092E-03	 1.585965E-02	 1.808360E-02	 1.651706E-02
2.290868E-04	 3.023843E-03	 1.584912E-02	 1.812595E-02	 1.653626E-02
2.312065E-04	 3.047635E-03	 1.583846E-02	 1.816835E-02	 1.655547E-02
2.333458E-04	 3.071450E-03	 1.582761E-02	 1.821078E-02	 1.657469E-02
2.355049E-04	 3.095289E-03	 1.581657E-02	 1.825325E-02	 1.659392E-02
2.376840E-04	 3.119152E-03	 1.580537E-02	 1.829575E-02	 1.661316E-02
2.398833E-04	 3.143038E-03	 1.579401E-02	 1.833829E-02	 1.663242E-02
2.421029E-04	 3.166949E-03	 1.578250E-02	 1.838086E-02	 1.665170E-02
2.443431E-04	 3.190885E-03	 1.577085E-02	 1.842348E-02	 1.667099E-02
2.466039E-04	 3.214846E-03	 1.575907E-02	 1.846613E-02	 1.669032E-02
2.488857E-04	 3.238831E-03	 1.574718E-02	 1.850882E-02	 1.670966E-02
2.511886E-04	 3.262843E-03	 1.573517E-02	 1.855156E-02	 1.672904E-02
2.535129E-04	 3.286880E-03	 1.572307E-02	 1.859434E-02	 1.674845E-02
2.558586E-04	 3.310943E-03	 1.571087E-02	 1.863717E-02	 1.676788E-02
2.582260E-04	 3.335033E-03	 1.569859E-02	 1.868005E-02	 1.678736E-02
2.606154E-04	 3.359149E-03	 1.568623E-02	 1.872297E-02	 1.680687E-02
2.630268E-04	 3.383292E-03	 1.567379E-02	 1.876594E-02	 1.682642E-02
2.654606E-04	 3.407462E-03	 1.566129E-02	 1.880896E-02	 1.684601E-02
2.679168E-04	 3.431660E-03	 1.564873E-02	 1.885204E-02	 1.686564E-02
2.703958E-04	 3.455885E-03	 1.563610E-02	 1.889517E-02	 1.688531E-02
2.728978E-04	 3.480139E-03	 1.562343E-02	 1.893835E-02	 1.690504E-02
2.754229E-04	 3.504421E-03	 1.561070E-02	 1.898159E-02	 1.692481E-02
2.779713E-04	 3.528675E-03	 1.559777E-02	 1.902486E-02	 1.694463E-02
2.805434E-04	 3.552854E-03	 1.558452E-02	 1.906813E-02	 1.696451E-02
