MMHT2014nnlo68cl	1.057 GeV
x	q(x)	delta_q	xq(x)	delta_xq(x)
1.000000E-04	4.092526E+01	2.113956E+01	4.092526E-03	2.113956E-03
1.009253E-04	4.081722E+01	2.104274E+01	4.119490E-03	2.123745E-03
1.018591E-04	4.070785E+01	2.094609E+01	4.146466E-03	2.133550E-03
1.028016E-04	4.059720E+01	2.084959E+01	4.173458E-03	2.143372E-03
1.037528E-04	4.048535E+01	2.075326E+01	4.200470E-03	2.153210E-03
1.047129E-04	4.037237E+01	2.065711E+01	4.227506E-03	2.163065E-03
1.056818E-04	4.025833E+01	2.056114E+01	4.254571E-03	2.172937E-03
1.066596E-04	4.014329E+01	2.046535E+01	4.281668E-03	2.182827E-03
1.076465E-04	4.002732E+01	2.036976E+01	4.308802E-03	2.192733E-03
1.086426E-04	3.991048E+01	2.027436E+01	4.335977E-03	2.202658E-03
1.096478E-04	3.979283E+01	2.017916E+01	4.363197E-03	2.212601E-03
1.106624E-04	3.967442E+01	2.008416E+01	4.390466E-03	2.222561E-03
1.116863E-04	3.955532E+01	1.998938E+01	4.417788E-03	2.232540E-03
1.127197E-04	3.943558E+01	1.989481E+01	4.445168E-03	2.242538E-03
1.137627E-04	3.931525E+01	1.980046E+01	4.472610E-03	2.252554E-03
1.148154E-04	3.919439E+01	1.970633E+01	4.500118E-03	2.262590E-03
1.158777E-04	3.907305E+01	1.961244E+01	4.527696E-03	2.272645E-03
1.169499E-04	3.895127E+01	1.951877E+01	4.555349E-03	2.282719E-03
1.180321E-04	3.882911E+01	1.942534E+01	4.583079E-03	2.292813E-03
1.191242E-04	3.870660E+01	1.933215E+01	4.610893E-03	2.302927E-03
1.202264E-04	3.858380E+01	1.923921E+01	4.638793E-03	2.313062E-03
1.213389E-04	3.846075E+01	1.914651E+01	4.666784E-03	2.323217E-03
1.224616E-04	3.833749E+01	1.905407E+01	4.694871E-03	2.333392E-03
1.235947E-04	3.821405E+01	1.896188E+01	4.723056E-03	2.343589E-03
1.247384E-04	3.809049E+01	1.886995E+01	4.751346E-03	2.353807E-03
1.258925E-04	3.796684E+01	1.877829E+01	4.779742E-03	2.364046E-03
1.270574E-04	3.784314E+01	1.868689E+01	4.808251E-03	2.374307E-03
1.282331E-04	3.771941E+01	1.859575E+01	4.836876E-03	2.384590E-03
1.294196E-04	3.759571E+01	1.850489E+01	4.865621E-03	2.394896E-03
1.306171E-04	3.747205E+01	1.841431E+01	4.894490E-03	2.405224E-03
1.318257E-04	3.734847E+01	1.832400E+01	4.923488E-03	2.415574E-03
1.330454E-04	3.722501E+01	1.823398E+01	4.952618E-03	2.425948E-03
1.342765E-04	3.710170E+01	1.814423E+01	4.981886E-03	2.436344E-03
1.355189E-04	3.697855E+01	1.805478E+01	5.011294E-03	2.446764E-03
1.367729E-04	3.685561E+01	1.796561E+01	5.040848E-03	2.457208E-03
1.380384E-04	3.673289E+01	1.787674E+01	5.070551E-03	2.467676E-03
1.393157E-04	3.661043E+01	1.778815E+01	5.100407E-03	2.478169E-03
1.406048E-04	3.648825E+01	1.769987E+01	5.130422E-03	2.488686E-03
1.419058E-04	3.636638E+01	1.761188E+01	5.160598E-03	2.499227E-03
1.432188E-04	3.624483E+01	1.752420E+01	5.190940E-03	2.509794E-03
1.445440E-04	3.612363E+01	1.743681E+01	5.221453E-03	2.520386E-03
1.458814E-04	3.600280E+01	1.734973E+01	5.252140E-03	2.531004E-03
1.472313E-04	3.588237E+01	1.726296E+01	5.283006E-03	2.541647E-03
1.485936E-04	3.576234E+01	1.717650E+01	5.314054E-03	2.552317E-03
1.499685E-04	3.564275E+01	1.709035E+01	5.345290E-03	2.563013E-03
1.513561E-04	3.552361E+01	1.700451E+01	5.376716E-03	2.573736E-03
