Q2,q4f1d,q4f1dA,q4f1dB,q4f1u,q4f1uA,q4f1uB,q6f2d,q6f2dA,q6f2dB,q6f2u,q6f2uA,q6f2uB
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
0.008001600320064013,6.261565701761337e-05,6.266428729168733e-05,6.255772917643381e-05,0.0001256176193152865,0.00012572041336091655,0.00012551316828571252,-1.0189099460369209e-06,-1.0200701107954855e-06,-1.0178188906674744e-06,8.386103918218408e-07,8.39532250863651e-07,8.373254749806162e-07
0.016003200640128026,0.0002448779215895004,0.00024534879945183193,0.00024438176568966044,0.0004930392643409372,0.0004938473654320288,0.0004922145031677125,-7.975093951522781e-06,-7.992985803546523e-06,-7.958348317474934e-06,6.566993507484495e-06,6.581215577563236e-06,6.547162774236235e-06
0.024004800960192037,0.0005388034932251886,0.0005404388633540842,0.0005371415329845834,0.0010887387764793573,0.00109138457825705,0.0010860398087780654,-2.633967662537132e-05,-2.6427008635451034e-05,-2.625832408600899e-05,2.1699355042530135e-05,2.176880097287974e-05,2.160247740288965e-05
0.03200640128025605,0.0009369050727472571,0.0009407600076485938,0.0009330618219934425,0.0018999730649535283,0.001906039266260639,0.0018937950677111336,-6.111055686094192e-05,-6.137676142954327e-05,-6.086372825496879e-05,5.036832475624048e-05,5.058009154156189e-05,5.007274844780164e-05
0.040008001600320066,0.0014321574692307071,0.0014395502323625337,0.001424881586268923,0.0029147301023905894,0.00292617897061967,0.002903093821570504,-0.00011684835269579683,-0.00011747536096441775,-0.00011626963681807747,9.635361455271388e-05,9.685259988206556e-05,9.565671885552141e-05
0.048009601920384073,0.002017966334896626,0.002030434253796255,0.0020058162228605413,0.004121680907404342,0.004140791436674796,0.004102299784872755,-0.00019770944813651353,-0.00019896415803484526,-0.00019655658881671153,0.0001631083779115766,0.00016410730360727903,0.00016171228719965864
0.05601120224044809,0.0026881392970398237,0.002707399565390296,0.0026695230042855797,0.0055101351653608,0.005539447289914844,0.005480474192239807,-0.0003074764003998702,-0.0003097202811891282,-0.00030542381468440287,0.0002537834752133383,0.0002555706547487623,0.0002512838185050763
0.0640128025605121,0.0034368592788324506,0.0034647741696585397,0.0034100693629823646,0.007070000172837594,0.007112265288159277,0.0070273274325648415,-0.0004495859404023686,-0.0004532821625658878,-0.00044621962509469105,0.00037124982924680375,0.0003741949846117635,0.000367127121681188
0.07201440288057612,0.004258659821120267,0.004297205849254951,0.004221903761370795,0.008791742821865536,0.008849879947439432,0.008733174571181045,-0.0006271547765166326,-0.0006328732081701362,-0.0006219692294192675,0.0005181190371462578,0.0005226774328978253,0.0005117323146881622
