Q2	Q^4*F_1p	error
0.156	0.016999937	0.00022574
0.179	0.021156833	0.000196706
0.195	0.02510612	0.000327034
0.234	0.033193142	0.000370685
0.273	0.041128754	0.000385181
0.292	0.04572751	0.000426474
0.312	0.050472767	0.000470731
0.35	0.060173593	0.00074212
0.389	0.070607438	0.000574628
0.428	0.081773521	0.000983249
0.467	0.091558778	0.000829002
0.506	0.101076612	0.001227652
0.545	0.112591782	0.001012312
0.584	0.122974562	0.001471281
0.623	0.132266212	0.001061315
0.662	0.145057888	0.001711601
0.701	0.153871904	0.001372498
0.74	0.168579755	0.001947025
0.779	0.175835821	0.001546941
0.857	0.203723667	0.002098277
0.389	0.070822919	0.0015084
0.584	0.122852123	0.002574744
0.779	0.174460719	0.003609527
0.973	0.225425642	0.004791661
1.168	0.273777929	0.005991331
1.363	0.313000637	0.006895593
1.558	0.3568395	0.00806414
1.752	0.393581011	0.009230336
0.67	0.145533829	0.002025325
1	0.236461	0.00335882
1.169	0.274259227	0.003649838
1.5	0.34670925	0.00488322
1.75	0.38806775	0.005533264
3	0.5603517	0.007457148
1	0.233998	0.00246314
2.003	0.439531634	0.00449333
2.497	0.511201529	0.005230904
3.007	0.571785723	0.005333814
1.5	0.34866225	0.007162065
2	0.4366		0.00897684
2.5	0.506365625	0.010469938
3.75	0.645600938	0.013249266
1.75	0.393598625	0.003688843
2.5	0.5073175	0.004759075
3.25	0.592807638	0.005576736
4	0.6551472	0.006221728
5	0.7137775	0.0068964
6	0.7512624	0.00816588
7	0.7862687	0.010201114
2.862	0.550573309	0.010876805
3.621	0.626857067	0.013601623
5.027	0.718881482	0.013133425
4.991	0.718050522	0.014471238
5.017	0.709291193	0.013122228
7.3	0.774341003	0.015916551
9.629	0.81029377	0.017867524
11.99	0.857669881	0.019382312
15.72	0.872100603	0.026299823
19.47	0.818287822	0.032154893
23.24	0.844188752	0.037953901
26.99	0.842223714	0.049611921
31.2	0.873603994	0.077328419
