model:2	Q0^2=1.12	Q^2=1.12 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb
1.282331E-04  1.403009E-02  8.252543E-03  1.595553E-02  1.017799E-02  -4.616088E-10  0.000000E+00  0.000000E+00  -2.502807E-08  1.925444E-03  1.925444E-03  -4.369042E-10  0.000000E+00  0.000000E+00
1.294196E-04  1.409504E-02  8.290746E-03  1.602940E-02  1.022510E-02  -4.599687E-10  0.000000E+00  0.000000E+00  -2.496309E-08  1.934356E-03  1.934356E-03  -4.351716E-10  0.000000E+00  0.000000E+00
1.306171E-04  1.416030E-02  8.329126E-03  1.610361E-02  1.027243E-02  -4.583306E-10  0.000000E+00  0.000000E+00  -2.489760E-08  1.943309E-03  1.943309E-03  -4.334410E-10  0.000000E+00  0.000000E+00
1.318257E-04  1.422586E-02  8.367685E-03  1.617817E-02  1.031999E-02  -4.566946E-10  0.000000E+00  0.000000E+00  -2.483161E-08  1.952304E-03  1.952304E-03  -4.317122E-10  0.000000E+00  0.000000E+00
1.330454E-04  1.429173E-02  8.406423E-03  1.625307E-02  1.036776E-02  -4.550606E-10  0.000000E+00  0.000000E+00  -2.476512E-08  1.961341E-03  1.961341E-03  -4.299853E-10  0.000000E+00  0.000000E+00
1.342765E-04  1.435790E-02  8.445342E-03  1.632832E-02  1.041576E-02  -4.534286E-10  0.000000E+00  0.000000E+00  -2.469813E-08  1.970420E-03  1.970420E-03  -4.282604E-10  0.000000E+00  0.000000E+00
1.355189E-04  1.442438E-02  8.484441E-03  1.640392E-02  1.046398E-02  -4.517986E-10  0.000000E+00  0.000000E+00  -2.463064E-08  1.979541E-03  1.979541E-03  -4.265373E-10  0.000000E+00  0.000000E+00
1.367729E-04  1.449117E-02  8.523723E-03  1.647988E-02  1.051243E-02  -4.501706E-10  0.000000E+00  0.000000E+00  -2.456267E-08  1.988704E-03  1.988704E-03  -4.248161E-10  0.000000E+00  0.000000E+00
1.380384E-04  1.455827E-02  8.563187E-03  1.655618E-02  1.056110E-02  -4.485447E-10  0.000000E+00  0.000000E+00  -2.449420E-08  1.997910E-03  1.997910E-03  -4.230968E-10  0.000000E+00  0.000000E+00
1.393157E-04  1.462569E-02  8.602835E-03  1.663285E-02  1.060999E-02  -4.469208E-10  0.000000E+00  0.000000E+00  -2.442524E-08  2.007159E-03  2.007159E-03  -4.213794E-10  0.000000E+00  0.000000E+00
