Q0 = 1.4 GeV	 Q = 3.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
5.000E-04	6.478E-02	4.162E-02	2.316E-02
1.500E-03	1.087E-01	6.924E-02	3.945E-02
2.500E-03	1.376E-01	8.712E-02	5.045E-02
3.500E-03	1.602E-01	1.010E-01	5.929E-02
4.500E-03	1.793E-01	1.124E-01	6.686E-02
5.500E-03	1.958E-01	1.222E-01	7.357E-02
6.500E-03	2.105E-01	1.308E-01	7.965E-02
7.500E-03	2.237E-01	1.385E-01	8.525E-02
8.500E-03	2.358E-01	1.454E-01	9.045E-02
9.500E-03	2.470E-01	1.517E-01	9.533E-02
1.050E-02	2.573E-01	1.574E-01	9.993E-02
1.150E-02	2.669E-01	1.626E-01	1.043E-01
1.250E-02	2.759E-01	1.675E-01	1.085E-01
1.350E-02	2.844E-01	1.720E-01	1.124E-01
1.450E-02	2.924E-01	1.761E-01	1.162E-01
1.550E-02	2.999E-01	1.800E-01	1.199E-01
1.650E-02	3.071E-01	1.836E-01	1.234E-01
1.750E-02	3.139E-01	1.870E-01	1.269E-01
1.850E-02	3.203E-01	1.902E-01	1.302E-01
1.950E-02	3.264E-01	1.931E-01	1.333E-01
2.050E-02	3.323E-01	1.959E-01	1.364E-01
2.150E-02	3.379E-01	1.985E-01	1.395E-01
2.250E-02	3.433E-01	2.009E-01	1.424E-01
2.350E-02	3.484E-01	2.032E-01	1.452E-01
2.450E-02	3.533E-01	2.053E-01	1.480E-01
2.550E-02	3.580E-01	2.073E-01	1.507E-01
2.650E-02	3.625E-01	2.092E-01	1.533E-01
2.750E-02	3.668E-01	2.109E-01	1.559E-01
2.850E-02	3.710E-01	2.126E-01	1.584E-01
2.950E-02	3.750E-01	2.141E-01	1.609E-01
3.050E-02	3.788E-01	2.155E-01	1.633E-01
3.150E-02	3.825E-01	2.169E-01	1.656E-01
3.250E-02	3.861E-01	2.181E-01	1.679E-01
3.350E-02	3.895E-01	2.193E-01	1.702E-01
3.450E-02	3.928E-01	2.204E-01	1.724E-01
3.550E-02	3.960E-01	2.214E-01	1.746E-01
3.650E-02	3.990E-01	2.223E-01	1.767E-01
3.750E-02	4.020E-01	2.232E-01	1.787E-01
3.850E-02	4.048E-01	2.240E-01	1.808E-01
3.950E-02	4.075E-01	2.248E-01	1.828E-01
4.050E-02	4.102E-01	2.254E-01	1.847E-01
4.150E-02	4.127E-01	2.260E-01	1.867E-01
4.250E-02	4.152E-01	2.266E-01	1.886E-01
4.350E-02	4.175E-01	2.271E-01	1.904E-01
4.450E-02	4.198E-01	2.276E-01	1.922E-01
4.550E-02	4.220E-01	2.280E-01	1.940E-01
4.650E-02	4.241E-01	2.283E-01	1.958E-01
4.750E-02	4.261E-01	2.286E-01	1.975E-01
4.850E-02	4.281E-01	2.289E-01	1.992E-01
4.950E-02	4.300E-01	2.291E-01	2.009E-01
5.050E-02	4.318E-01	2.293E-01	2.025E-01
5.150E-02	4.335E-01	2.294E-01	2.041E-01
5.250E-02	4.352E-01	2.295E-01	2.057E-01
5.350E-02	4.368E-01	2.296E-01	2.072E-01
5.450E-02	4.384E-01	2.296E-01	2.088E-01
5.550E-02	4.399E-01	2.296E-01	2.103E-01
5.650E-02	4.413E-01	2.296E-01	2.117E-01
5.750E-02	4.427E-01	2.295E-01	2.132E-01
5.850E-02	4.440E-01	2.294E-01	2.146E-01
5.950E-02	4.453E-01	2.293E-01	2.160E-01
6.050E-02	4.465E-01	2.291E-01	2.174E-01
6.150E-02	4.477E-01	2.289E-01	2.188E-01
6.250E-02	4.488E-01	2.287E-01	2.201E-01
6.350E-02	4.499E-01	2.285E-01	2.214E-01
6.450E-02	4.509E-01	2.282E-01	2.227E-01
6.550E-02	4.519E-01	2.279E-01	2.240E-01
6.650E-02	4.528E-01	2.276E-01	2.252E-01
6.750E-02	4.537E-01	2.273E-01	2.264E-01
6.850E-02	4.546E-01	2.269E-01	2.276E-01
6.950E-02	4.554E-01	2.266E-01	2.288E-01
7.050E-02	4.562E-01	2.262E-01	2.300E-01
7.150E-02	4.569E-01	2.258E-01	2.311E-01
7.250E-02	4.576E-01	2.253E-01	2.323E-01
7.350E-02	4.583E-01	2.249E-01	2.334E-01
7.450E-02	4.589E-01	2.244E-01	2.345E-01
7.550E-02	4.595E-01	2.239E-01	2.355E-01
7.650E-02	4.600E-01	2.234E-01	2.366E-01
7.750E-02	4.605E-01	2.229E-01	2.376E-01
7.850E-02	4.610E-01	2.224E-01	2.386E-01
7.950E-02	4.615E-01	2.218E-01	2.396E-01
8.050E-02	4.619E-01	2.213E-01	2.406E-01
8.150E-02	4.623E-01	2.207E-01	2.416E-01
8.250E-02	4.626E-01	2.201E-01	2.425E-01
8.350E-02	4.630E-01	2.195E-01	2.435E-01
8.450E-02	4.633E-01	2.189E-01	2.444E-01
8.550E-02	4.635E-01	2.183E-01	2.453E-01
8.650E-02	4.638E-01	2.176E-01	2.462E-01
8.750E-02	4.640E-01	2.170E-01	2.470E-01
8.850E-02	4.642E-01	2.163E-01	2.479E-01
8.950E-02	4.644E-01	2.156E-01	2.487E-01
9.050E-02	4.645E-01	2.150E-01	2.495E-01
9.150E-02	4.646E-01	2.143E-01	2.503E-01
9.250E-02	4.647E-01	2.136E-01	2.511E-01
9.350E-02	4.648E-01	2.129E-01	2.519E-01
9.450E-02	4.648E-01	2.122E-01	2.527E-01
9.550E-02	4.649E-01	2.114E-01	2.534E-01
9.650E-02	4.649E-01	2.107E-01	2.542E-01
9.750E-02	4.648E-01	2.100E-01	2.549E-01
9.850E-02	4.648E-01	2.092E-01	2.556E-01
9.950E-02	4.647E-01	2.085E-01	2.563E-01
1.005E-01	4.646E-01	2.077E-01	2.569E-01
1.015E-01	4.645E-01	2.069E-01	2.576E-01
1.025E-01	4.644E-01	2.062E-01	2.583E-01
1.035E-01	4.643E-01	2.054E-01	2.589E-01
1.045E-01	4.641E-01	2.046E-01	2.595E-01
1.055E-01	4.639E-01	2.038E-01	2.601E-01
1.065E-01	4.637E-01	2.030E-01	2.607E-01
1.075E-01	4.635E-01	2.022E-01	2.613E-01
1.085E-01	4.633E-01	2.014E-01	2.619E-01
1.095E-01	4.630E-01	2.006E-01	2.624E-01
1.105E-01	4.628E-01	1.998E-01	2.630E-01
1.115E-01	4.625E-01	1.990E-01	2.635E-01
1.125E-01	4.622E-01	1.982E-01	2.640E-01
1.135E-01	4.619E-01	1.973E-01	2.645E-01
1.145E-01	4.615E-01	1.965E-01	2.650E-01
1.155E-01	4.612E-01	1.957E-01	2.655E-01
1.165E-01	4.608E-01	1.948E-01	2.660E-01
1.175E-01	4.605E-01	1.940E-01	2.665E-01
1.185E-01	4.601E-01	1.932E-01	2.669E-01
1.195E-01	4.597E-01	1.923E-01	2.674E-01
1.205E-01	4.592E-01	1.915E-01	2.678E-01
1.215E-01	4.588E-01	1.906E-01	2.682E-01
1.225E-01	4.584E-01	1.898E-01	2.686E-01
1.235E-01	4.579E-01	1.889E-01	2.690E-01
1.245E-01	4.574E-01	1.881E-01	2.694E-01
1.255E-01	4.570E-01	1.872E-01	2.698E-01
1.265E-01	4.565E-01	1.863E-01	2.701E-01
1.275E-01	4.560E-01	1.855E-01	2.705E-01
1.285E-01	4.554E-01	1.846E-01	2.708E-01
1.295E-01	4.549E-01	1.838E-01	2.712E-01
1.305E-01	4.544E-01	1.829E-01	2.715E-01
1.315E-01	4.538E-01	1.820E-01	2.718E-01
1.325E-01	4.532E-01	1.812E-01	2.721E-01
1.335E-01	4.527E-01	1.803E-01	2.724E-01
1.345E-01	4.521E-01	1.794E-01	2.727E-01
1.355E-01	4.515E-01	1.786E-01	2.729E-01
1.365E-01	4.509E-01	1.777E-01	2.732E-01
1.375E-01	4.503E-01	1.768E-01	2.734E-01
1.385E-01	4.496E-01	1.760E-01	2.737E-01
1.395E-01	4.490E-01	1.751E-01	2.739E-01
1.405E-01	4.484E-01	1.742E-01	2.741E-01
1.415E-01	4.477E-01	1.733E-01	2.744E-01
1.425E-01	4.470E-01	1.725E-01	2.746E-01
1.435E-01	4.464E-01	1.716E-01	2.748E-01
1.445E-01	4.457E-01	1.707E-01	2.749E-01
1.455E-01	4.450E-01	1.699E-01	2.751E-01
1.465E-01	4.443E-01	1.690E-01	2.753E-01
1.475E-01	4.436E-01	1.681E-01	2.754E-01
1.485E-01	4.429E-01	1.673E-01	2.756E-01
1.495E-01	4.421E-01	1.664E-01	2.757E-01
1.505E-01	4.414E-01	1.655E-01	2.759E-01
1.515E-01	4.407E-01	1.647E-01	2.760E-01
1.525E-01	4.399E-01	1.638E-01	2.761E-01
1.535E-01	4.392E-01	1.630E-01	2.762E-01
1.545E-01	4.384E-01	1.621E-01	2.763E-01
1.555E-01	4.376E-01	1.612E-01	2.764E-01
1.565E-01	4.369E-01	1.604E-01	2.765E-01
1.575E-01	4.361E-01	1.595E-01	2.766E-01
1.585E-01	4.353E-01	1.587E-01	2.766E-01
1.595E-01	4.345E-01	1.578E-01	2.767E-01
1.605E-01	4.337E-01	1.570E-01	2.767E-01
1.615E-01	4.329E-01	1.561E-01	2.768E-01
1.625E-01	4.321E-01	1.553E-01	2.768E-01
1.635E-01	4.313E-01	1.544E-01	2.768E-01
1.645E-01	4.304E-01	1.536E-01	2.769E-01
1.655E-01	4.296E-01	1.527E-01	2.769E-01
1.665E-01	4.288E-01	1.519E-01	2.769E-01
1.675E-01	4.279E-01	1.510E-01	2.769E-01
1.685E-01	4.271E-01	1.502E-01	2.769E-01
1.695E-01	4.262E-01	1.494E-01	2.768E-01
1.705E-01	4.254E-01	1.485E-01	2.768E-01
1.715E-01	4.245E-01	1.477E-01	2.768E-01
1.725E-01	4.236E-01	1.469E-01	2.767E-01
