NNPDF30_nlo_as_0118	10.00 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb  Exuv  Exdv  Exu  Exd  Exs  Exc  Exb  Exg  Exub  Exdb  Exsb  Excb  Exbb
1.137627E-04  2.244041E-02  1.742635E-02  8.665333E-01  8.367279E-01  7.688821E-01  4.469164E-01  6.671166E-10  1.209660E+01  8.440929E-01  8.193016E-01  7.711749E-01  4.469164E-01  -3.688183E-09  4.950996E-03  5.625116E-03  5.307641E-02  8.850126E-02  2.240283E-01  2.886905E-02  3.617613E-08  1.305114E+00  5.252706E-02  8.842625E-02  2.240282E-01  2.886906E-02  3.332891E-08
1.148154E-04  2.252705E-02  1.748339E-02  8.651313E-01  8.353754E-01  7.673737E-01  4.459785E-01  8.799250E-10  1.207476E+01  8.426042E-01  8.178920E-01  7.696732E-01  4.459785E-01  -3.653245E-09  4.956760E-03  5.634219E-03  5.295272E-02  8.817919E-02  2.235639E-01  2.870436E-02  3.563253E-08  1.298703E+00  5.240116E-02  8.810233E-02  2.235632E-01  2.870436E-02  3.283093E-08
1.158777E-04  2.261403E-02  1.754062E-02  8.637321E-01  8.340256E-01  7.658682E-01  4.450425E-01  1.102643E-09  1.205300E+01  8.411181E-01  8.164850E-01  7.681743E-01  4.450425E-01  -3.616400E-09  4.962507E-03  5.643301E-03  5.282966E-02  8.785709E-02  2.231007E-01  2.854030E-02  3.510419E-08  1.292357E+00  5.227594E-02  8.777839E-02  2.230994E-01  2.854030E-02  3.236542E-08
1.169499E-04  2.270135E-02  1.759803E-02  8.623359E-01  8.326786E-01  7.643654E-01  4.441084E-01  1.334043E-09  1.203133E+01  8.396345E-01  8.150806E-01  7.666781E-01  4.441084E-01  -3.577821E-09  4.968235E-03  5.652361E-03  5.270720E-02  8.753498E-02  2.226385E-01  2.837687E-02  3.460174E-08  1.286069E+00  5.215136E-02  8.745445E-02  2.226367E-01  2.837687E-02  3.194382E-08
1.180321E-04  2.278902E-02  1.765564E-02  8.609424E-01  8.313344E-01  7.628653E-01  4.431762E-01  1.572896E-09  1.200973E+01  8.381534E-01  8.136788E-01  7.651846E-01  4.431762E-01  -3.537684E-09  4.973945E-03  5.661397E-03  5.258532E-02  8.721292E-02  2.221774E-01  2.821408E-02  3.413535E-08  1.279834E+00  5.202740E-02  8.713056E-02  2.221751E-01  2.821408E-02  3.157683E-08
1.191242E-04  2.287703E-02  1.771345E-02  8.595517E-01  8.299928E-01  7.613678E-01  4.422457E-01  1.817974E-09  1.198820E+01  8.366747E-01  8.122794E-01  7.636938E-01  4.422457E-01  -3.496163E-09  4.979635E-03  5.670408E-03  5.246401E-02  8.689095E-02  2.217173E-01  2.805192E-02  3.371453E-08  1.273649E+00  5.190405E-02  8.680677E-02  2.217145E-01  2.805193E-02  3.127406E-08
1.202264E-04  2.296540E-02  1.777144E-02  8.581637E-01  8.286539E-01  7.598730E-01  4.413170E-01  2.068048E-09  1.196675E+01  8.351983E-01  8.108825E-01  7.622056E-01  4.413170E-01  -3.453433E-09  4.985306E-03  5.679394E-03  5.234326E-02  8.656910E-02  2.212582E-01  2.789040E-02  3.334790E-08  1.267508E+00  5.178129E-02  8.648310E-02  2.212549E-01  2.789041E-02  3.104369E-08
1.213389E-04  2.305413E-02  1.782963E-02  8.567784E-01  8.273175E-01  7.583806E-01  4.403901E-01  2.321889E-09  1.194538E+01  8.337243E-01  8.094879E-01  7.607199E-01  4.403901E-01  -3.409670E-09  4.990957E-03  5.688353E-03  5.222304E-02  8.624743E-02  2.208001E-01  2.772953E-02  3.304288E-08  1.261409E+00  5.165909E-02  8.615961E-02  2.207963E-01  2.772954E-02  3.089214E-08
1.224616E-04  2.314321E-02  1.788801E-02  8.553956E-01  8.259836E-01  7.568908E-01  4.394648E-01  2.578270E-09  1.192407E+01  8.322524E-01  8.080956E-01  7.592367E-01  4.394648E-01  -3.365046E-09  4.996588E-03  5.697284E-03  5.210334E-02  8.592598E-02  2.203430E-01  2.756931E-02  3.280550E-08  1.255348E+00  5.153745E-02  8.583635E-02  2.203387E-01  2.756931E-02  3.082382E-08
1.235947E-04  2.323266E-02  1.794658E-02  8.540154E-01  8.246522E-01  7.554034E-01  4.385412E-01  2.835961E-09  1.190283E+01  8.307827E-01  8.067057E-01  7.577560E-01  4.385412E-01  -3.319738E-09  5.002198E-03  5.706187E-03  5.198417E-02  8.560480E-02  2.198867E-01  2.740973E-02  3.264012E-08  1.249321E+00  5.141635E-02  8.551335E-02  2.198820E-01  2.740974E-02  3.084087E-08
