0.200 0.705 0.680 0.730
0.200 0.760 0.735 0.785
0.200 0.650 0.570 0.730
0.200 0.630 0.580 0.680
0.160 0.720 0.680 0.750
0.160 0.710 0.670 0.740
0.160 0.740 0.710 0.770
0.200 0.710 0.660 0.760
0.200 0.680 0.630 0.720
0.200 0.710 0.660 0.750
0.240 0.690 0.660 0.720
0.240 0.680 0.650 0.710
0.240 0.710 0.680 0.730
0.230 0.831 0.764 0.898
0.230 0.862 0.795 0.929
0.230 0.877 0.811 0.943
0.470 0.694 0.608 0.780
0.470 0.687 0.601 0.773
0.790 0.582 0.501 0.663
1.190 0.399 0.307 0.491
1.190 0.361 0.265 0.457
1.500 0.388 0.340 0.436
1.840 0.292 0.251 0.333
0.200 0.701 0.635 0.767
0.400 0.494 0.426 0.562
0.600 0.458 0.409 0.507
0.078 0.815 0.770 0.860
0.078 0.873 0.797 0.932
0.078 0.782 0.725 0.828
0.078 0.795 0.715 0.858
0.155 0.774 0.743 0.805
0.155 0.808 0.767 0.844
0.155 0.722 0.682 0.762
0.155 0.740 0.699 0.776
0.233 0.744 0.705 0.783
0.233 0.766 0.722 0.805
0.233 0.686 0.638 0.732
0.233 0.707 0.657 0.752
0.311 0.650 0.612 0.688
0.311 0.660 0.615 0.705
0.311 0.582 0.532 0.631
0.311 0.591 0.533 0.637
0.450 0.495 0.445 0.540
0.450 0.562 0.520 0.601
0.450 0.538 0.502 0.572
0.580 0.390 0.310 0.445
0.580 0.462 0.401 0.512
0.580 0.450 0.401 0.493
0.880 0.245 0.175 0.285
0.880 0.321 0.292 0.346
0.880 0.317 0.290 0.342
0.350 0.690 0.650 0.730
0.450 0.580 0.550 0.610
0.580 0.500 0.480 0.520
0.720 0.380 0.300 0.460
1.000 0.370 0.290 0.450
0.097 0.874 0.814 0.930
0.097 0.836 0.778 0.889
0.136 0.819 0.786 0.851
0.136 0.782 0.751 0.812
0.195 0.699 0.666 0.730
0.195 0.665 0.634 0.695
0.312 0.614 0.591 0.636
0.312 0.578 0.556 0.599
0.070 0.900 0.822 0.978
0.136 0.810 0.740 0.880
0.195 0.780 0.710 0.850
     2.55256     0.13988 0.08982 0.18994
     2.38275     0.10454 0.08098 0.1281
     2.14286     0.08687 0.03828 0.13546
     2.06739     0.06331 0.00294 0.12368
     1.77898     0.18699 0.16049 0.21349
     1.78167     0.19288 0.15166 0.2341
     1.58760     0.23411 0.16785 0.30037 
     1.56604     0.25031 0.19730 0.30332
     1.42049     0.22233 0.18405 0.26061
     1.37736     0.24589 0.22233 0.26945
     1.16442     0.35926 0.31951 0.39901
     1.18598     0.37693 0.30626 0.4476
     1.05930     0.27239 0.24000 0.30478
     0.97574     0.30920 0.28859 0.32981
     0.88679     0.34601 0.29890 0.39312
     0.80323     0.36957 0.32540 0.41374
     0.89488     0.51092 0.42110 0.60074
     0.69542     0.30184 0.21350 0.39018
     0.69272     0.35926 0.31951 0.39901
     0.62534     0.48736 0.44613 0.52859
     0.63612     0.54184 0.51975 0.56393
     0.49596     0.55951 0.47558 0.64344
     0.49057     0.60221 0.56834 0.63608 
     0.42049     0.66847 0.63902 0.69792
     0.44474     0.71411 0.67288 0.75534
     0.29650     0.74209 0.66258 0.8216
     0.29919     0.79362 0.75534 0.8319
     0.29111     0.83485 0.80393 0.86577
     0.26415     0.83926 0.79656 0.88196
     0.19946     0.87018 0.83043 0.90993
     0.14825     0.91583 0.80393 1.02773 
     0.11860     0.94969 0.91582 0.98356 
     0.11860     0.90110 0.84662 0.95558 
     0.09704     0.91288 0.87312 0.95264 



